id,TreEL200607280
info,visteam,AkrEL
info,hometeam,TreEL
info,date,2006/07/28
play,8,0,430829,,,7/F
play,8,0,466283,,,S8/L
play,8,0,444839,,,7/F
play,8,1,451668,,,7/F
play,8,1,446858,,,53/G
play,8,1,455167,,,D9/L
play,8,1,450363,,,S4/G.2-3
play,8,1,455369,,,NP
sub,458248,Chris Hernandez,0,0,1
play,8,1,455369,,,S9/L.1-3;3-H
play,8,1,435408,,,K
play,9,0,452721,,,NP
sub,455943,Paul Thorp,1,0,1
play,9,0,452721,,,W
play,9,0,430561,,,E3.1-2
play,9,0,444422,,,S7/F.1-2;2-H
play,9,0,458952,,,S8/F.1-2;2-3
play,9,0,454990,,,7/SF.2-3;3-H
play,9,0,445106,,,K
play,9,0,430829,,,3/G
play,9,1,447670,,,S9/G
play,9,1,460652,,,FC5/G.1X2(54);B-1
play,9,1,451629,,,S8/L.1-2
play,9,1,451668,,,4/P
play,9,1,446858,,,3/G
id,TreEL200604280
info,visteam,NwbEL
info,hometeam,TreEL
info,date,2006/04/28
start,452655,Denard Span,0,1,8
start,464900,Alex Romero,0,2,7
start,456420,Matt Moses,0,3,5
start,460186,Daniel Matienzo,0,4,3
