id,BoiNWL200606220
info,visteam,EugNWL
info,hometeam,BoiNWL
info,date,2006/06/22
start,445191,Joseph Batten,0,2,4
start,493631,Joey Side,0,3,8
start,458088,Cyle Hankerd,0,4,7
start,445184,Lester Contreras,0,5,3
start,463691,Jose Dilone,0,6,5
start,501915,Shane Byrne,0,7,9
start,501798,Tito Cruz,0,8,2
start,503350,Jason Watson,0,9,6
start,503349,Scott Souther,0,0,1
start,501865,Matt Camp,1,1,8
start,469196,Sammy Baez,1,2,6
start,502125,Tyler Colvin,1,3,7
start,453183,Deryck Lewis,1,4,10
start,444453,Russell Canzler,1,5,3
start,448293,Alfred Joseph,1,6,9
start,502182,Steven Clevenger,1,7,4
start,467061,Elvin Puello,1,8,5
start,469141,Mario Mercedes,1,9,2
start,459336,Billy Petrick,1,0,1
play,1,0,489383,,,W
play,1,0,445191,,,K
play,1,0,493631,,,W.1-2
play,1,0,458088,,,S5/G.1-2;2-3
play,1,0,445184,,,S9/F.1-2;2-3;3-H
play,1,0,463691,,,S5/G.1-2;2-3;3-H
play,1,0,501915,,,46(1)3/GDP/G4
play,1,1,501865,,,43/G
play,1,1,469196,,,S6/G
play,1,1,502125,,,SB2
play,1,1,502125,,,K
play,1,1,453183,,,3/P
play,2,0,501798,,,43/G
play,2,0,503350,,,43/G
play,2,0,489383,,,63/G
play,2,1,444453,,,HR/L
play,2,1,448293,,,53/G
play,2,1,502182,,,8/F
play,2,1,467061,,,S7/L
play,2,1,469141,,,4/P
play,3,0,445191,,,63/G
play,3,0,493631,,,9/F
play,3,0,458088,,,D7/L
play,3,0,445184,,,8/F
play,3,1,501865,,,7/F
play,3,1,469196,,,43/G
play,3,1,502125,,,6/P
play,4,0,463691,,,S8/L
play,4,0,501915,,,53/G.1-2
play,4,0,501798,,,63/G
play,4,0,503350,,,HP
play,4,0,489383,,,8/F
play,4,1,453183,,,E5
play,4,1,444453,,,W.1-2
play,4,1,448293,,,E1/TH.1-2;2-H
play,4,1,502182,,,7/F
play,4,1,467061,,,W.1-2;2-3
play,4,1,469141,,,7/SF.2-3;3-H
play,4,1,501865,,,S3/BG.1-H;3-H;B-2
play,4,1,469196,,,53/G
play,5,0,445191,,,HP
play,5,0,493631,,,FC4/G.1X2(46);B-1
play,5,0,458088,,,S9/L.1-2
play,5,0,445184,,,D8/L.1XH;2-H;B-3
play,5,0,463691,,,S9/F.3-H
play,5,0,501915,,,43/G
play,5,1,502125,,,S9/G
play,5,1,453183,,,8/L
play,5,1,444453,,,HR/F.1-H
play,5,1,448293,,,S7/L
play,5,1,502182,,,NP
sub,456532,Lorenzo Church,0,0,1
play,5,1,502182,,,43/G.1-2
play,5,1,467061,,,SB3
play,5,1,467061,,,S8/L.3-H
play,5,1,469141,,,FC6/G.1X2(64)
play,6,0,501798,,,NP
sub,493256,Alessandro Maestri,1,0,1
play,6,0,501798,,,3/PF
play,6,0,503350,,,63/G
play,6,0,489383,,,9/F
play,6,1,501865,,,S8/G
play,6,1,469196,,,S8/G.1-3
play,6,1,502125,,,FC1/G.1X2(16);B-1
play,6,1,453183,,,S6/G.1-2;3-H
play,6,1,444453,,,64(1)3/GDP/G6
play,7,0,445191,,,8/L
play,7,0,493631,,,63/G
play,7,0,458088,,,K
play,7,1,448293,,,63/G
play,7,1,502182,,,K
play,7,1,467061,,,43/G
play,8,0,445184,,,NP
sub,460046,Ronald Clipp,1,0,1
