id,AanAZL200606230
info,visteam,AmaAZL
info,hometeam,AanAZL
info,date,2006/06/23
play,8,0,501944,,,S8/F.1-2;2-H;3-H
play,8,0,488660,,,K
play,8,1,464423,,,NP
sub,459962,Brian Hernandez,0,9,2
play,8,1,464423,,,K
play,8,1,456505,,,HP
play,8,1,474233,,,FC6/G.1X3(6);B-1(E)
play,8,1,503498,,,K
play,9,0,502418,,,NP
sub,472569,Norberto Ortiz,1,9,8
play,9,0,502418,,,9/F
play,9,0,460323,,,S8/G
play,9,0,459962,,,7/F
play,9,0,470516,,,W.1-2
play,9,0,501986,,,NP
sub,502376,Douglas Brandt,1,0,1
play,9,0,501986,,,FC4/G.1X2(46)
play,9,1,446411,,,NP
sub,503583,R. J. Rodriguez,0,0,1
play,9,1,446411,,,K
play,9,1,459968,,,53/G
play,9,1,502206,,,W
play,9,1,472569,,,K
id,AanAZL200607050
info,visteam,AgiAZL
info,hometeam,AanAZL
info,date,2006/07/05
start,488806,Tayler Creswell,0,1,8
start,150401,Tomas De La Rosa,0,2,6
start,463748,Sharlon Schoop,0,3,4
start,452167,Julian Benavidez,0,4,10
start,453303,Matthew Downs,0,5,5
start,503580,Joe Roundy,0,6,9
start,502542,Sean Van Elderen,0,7,3
start,451107,James Simmons,0,8,7
start,489027,Matthew Klimas,0,9,2
start,471920,Wilmin Rodriguez,0,0,1
start,501921,Alex Fonseca,1,1,4
start,459968,Christopher Lewis,1,2,5
start,503498,Angel Castillo,1,3,7
start,474233,Hank Conger,1,4,2
start,446411,Seth Loman,1,5,3
start,472569,Norberto Ortiz,1,6,9
start,489215,Ryan Pressley,1,7,10
start,502698,Wilberto Ortiz,1,8,6
start,502206,Clayton Fuller,1,9,8
start,501812,Timothy Schoeninger,1,0,1
play,1,0,488806,,,K
play,1,0,150401,,,63/G
play,1,0,463748,,,7/F
play,1,1,501921,,,63/G
play,1,1,459968,,,D9/F
play,1,1,503498,,,S7/L.2XH;B-2
play,1,1,474233,,,W
play,1,1,446411,,,HP.1-2;2-3
play,1,1,472569,,,S9/G.1-3;2-H;3-H
play,1,1,489215,,,K
play,2,0,452167,,,K
play,2,0,453303,,,7/F
play,2,0,503580,,,K
play,2,1,502698,,,W
play,2,1,502206,,,S7/G.1-2
play,2,1,501921,,,BK.1-2;2-3
