id,VerFSL200604070
info,visteam,St.FSL
info,hometeam,VerFSL
info,date,2006/04/07
play,9,1,449082,,,43/G
id,VerFSL200604210
info,visteam,DayFSL
info,hometeam,VerFSL
info,date,2006/04/21
start,453539,Sam Fuld,0,1,8
start,448691,Jemel Spearman,0,2,5
start,458243,Ryan Harvey,0,3,9
start,425482,Nic Jackson,0,4,7
start,444844,Jake Fox,0,5,2
start,456573,Matt Craig,0,6,3
start,447638,Issmael Salas,0,7,4
start,489319,Joseph Simokaitis,0,8,6
start,458520,Olin Wick,0,9,10
start,456409,Matt Weber,0,0,1
start,448596,David Nicholson,1,1,6
start,460578,Jimmy Rohan,1,2,5
start,455088,Blake Dewitt,1,3,4
start,451614,Cole Bruce,1,4,10
start,462569,Ryan Carter,1,5,7
start,449082,Xavier Paul,1,6,9
start,111232,Pat Borders,1,7,2
start,489134,Jason Mooneyham,1,8,3
start,469845,Jamie Hoffmann,1,9,8
start,434882,Matt Merricks,1,0,1
play,1,0,453539,,,41/G
play,1,0,448691,,,3/PF
play,1,0,458243,,,7/F
play,1,1,448596,,,63/G
play,1,1,460578,,,9/F
play,1,1,455088,,,8/F
play,2,0,425482,,,S9/L
play,2,0,444844,,,HR/F.1-H
play,2,0,456573,,,3/P
play,2,0,447638,,,13/G
play,2,0,489319,,,K
play,2,1,451614,,,63/G
play,2,1,462569,,,7/F
play,2,1,449082,,,D7/L
play,2,1,111232,,,43/G
play,3,0,458520,,,43/G
play,3,0,453539,,,S8/L
play,3,0,448691,,,FC6/G.1X2(64);B-1
play,3,0,458243,,,HR/F.1-H
play,3,0,425482,,,HP
play,3,0,444844,,,K
play,3,1,489134,,,7/F
play,3,1,469845,,,K
play,3,1,448596,,,9/F
play,4,0,456573,,,8/F
play,4,0,447638,,,S7/L
play,4,0,489319,,,9/F
play,4,0,458520,,,53/G
play,4,1,460578,,,63/G
play,4,1,455088,,,W
play,4,1,451614,,,9/F
play,4,1,462569,,,FC6/G.1X2(64)
play,5,0,453539,,,8/F
play,5,0,448691,,,W
play,5,0,458243,,,W.1-2
play,5,0,425482,,,W.1-2;2-3
play,5,0,444844,,,NP
sub,466936,Albenis Castillo,1,0,1
play,5,0,444844,,,8/SF.2X3(85);3-H
play,5,1,449082,,,E3/TH
play,5,1,111232,,,14(1)3/GDP/G1
play,5,1,489134,,,W
play,5,1,469845,,,9/F
play,6,0,456573,,,S3/G
play,6,0,447638,,,W.1-2
play,6,0,489319,,,K
play,6,0,458520,,,46(1)3/GDP/G4
play,6,1,448596,,,S8/G
play,6,1,460578,,,S9/L.1-2
play,6,1,455088,,,S7/G.1-2;2-3
play,6,1,451614,,,WP.1-2;2-3;3-H
play,6,1,451614,,,W
play,6,1,462569,,,HR/F.1-H;2-H;3-H
play,6,1,449082,,,NP
sub,471024,Carlos Perez,0,0,1
play,6,1,449082,,,5/P
play,6,1,111232,,,D7/F
play,6,1,489134,,,K
play,6,1,469845,,,W
play,6,1,448596,,,S8/L.2XH
play,7,0,453539,,,63/G
play,7,0,448691,,,K
play,7,0,458243,,,7/F
play,7,1,460578,,,NP
sub,446492,Angelo Burrows,0,0,1
play,7,1,460578,,,S7/L
play,7,1,455088,,,S9/G.1-3
play,7,1,451614,,,WP.1-2;3-H
play,7,1,451614,,,K
play,7,1,462569,,,K23
play,7,1,449082,,,WP.2-H
play,7,1,449082,,,K
play,8,0,425482,,,NP
sub,454662,Brian Akin,1,0,1
play,8,0,425482,,,31/G
play,8,0,444844,,,K
play,8,0,456573,,,7/F
play,8,1,111232,,,53/G
play,8,1,489134,,,53/G
play,8,1,469845,,,8/F
play,9,0,447638,,,NP
sub,448618,Kyle Wilson,1,0,1
play,9,0,447638,,,43/G
play,9,0,489319,,,NP
sub,460621,Nate Spears,0,8,11
play,9,0,460621,,,63/G
play,9,0,458520,,,NP
sub,448697,Alan Rick,0,9,11
play,9,0,448697,,,9/F
id,VerFSL200604260
info,visteam,BreFSL
info,hometeam,VerFSL
info,date,2006/04/26
start,458496,Travis Ezi,0,1,8
start,454975,Hernan Iribarren,0,2,4
start,460075,Ryan Braun,0,3,5
start,446428,Brendan Katin,0,4,10
start,446538,Steven Sollmann,0,5,3
start,449786,Carlos Corporan,0,6,2
start,448761,Hasan Rasheed,0,7,7
start,458221,Freddy Parejo,0,8,9
start,489104,Scott McKnight,0,9,6
start,434523,Mike Jones,0,0,1
start,448596,David Nicholson,1,1,6
start,460578,Jimmy Rohan,1,2,9
start,455088,Blake Dewitt,1,3,4
start,462569,Ryan Carter,1,4,7
start,111232,Pat Borders,1,5,2
start,458239,Travis Denker,1,6,10
start,451614,Cole Bruce,1,7,5
start,489134,Jason Mooneyham,1,8,3
start,469845,Jamie Hoffmann,1,9,8
start,469151,Julio Cesar Pimentel,1,0,1
play,1,0,458496,,,43/G
