id,IowPCL200505040
info,visteam,NasPCL
info,hometeam,IowPCL
info,date,2005/05/04
play,8,0,346867,,,163/G1
play,8,1,430639,,,K
play,8,1,150322,,,3/G
play,8,1,133140,,,HR/F
play,8,1,116248,,,S1/G
play,8,1,447789,,,63/G
play,9,0,407356,,,NP
sub,150225,Mike Moriarty,1,6,1
play,9,0,407356,,,S9/L
play,9,0,449448,,,FC5/G.1X2(54);B-1
play,9,0,408219,,,8/F
play,9,0,150299,,,W.1-2
play,9,0,435039,,,W.1-2;2-3
play,9,0,435401,,,8/F
play,9,1,430917,,,8/F
play,9,1,407778,,,63/G
play,9,1,115370,,,K
id,IowPCL200505090
info,visteam,MemPCL
info,hometeam,IowPCL
info,date,2005/05/09
start,435401,Skip Schumaker,0,1,8
start,425659,Hector Luna,0,2,4
start,430261,Peter Zoccolillo,0,3,9
start,346867,Scott Seabol,0,4,5
start,408219,Chris Duncan,0,5,3
start,430571,John Gall,0,6,7
start,449448,John Nelson,0,7,6
start,276345,Javier Cardona,0,8,2
start,435398,Jeremy Cummings,0,9,1
start,116248,Trenidad Hubbard,1,1,9
start,447789,Dwaine Bacon,1,2,7
start,430917,Mike Fontenot,1,3,5
start,115370,Shane Halter,1,4,6
start,133140,Scott McClain,1,5,3
start,150273,Calvin Murray,1,6,8
start,430639,Richard Lewis,1,7,4
start,434567,Geovany Soto,1,8,2
start,458222,Robert Brownlie,1,9,1
play,1,0,435401,,,W
play,1,0,425659,,,K
play,1,0,430261,,,SB2
play,1,0,430261,,,W
play,1,0,346867,,,9/L.2-3
play,1,0,408219,,,13/G
play,1,1,116248,,,HP
play,1,1,447789,,,CS2
play,1,1,447789,,,K
play,1,1,430917,,,W
play,1,1,115370,,,W.1-2
play,1,1,133140,,,W.1-2;2-3
play,1,1,150273,,,FC6/G.1X2(64)
play,2,0,430571,,,D7/F
play,2,0,449448,,,K
play,2,0,276345,,,53/G.2-3
play,2,0,435398,,,13/G
play,2,1,430639,,,3/PF
play,2,1,434567,,,8/F
play,2,1,458222,,,K
play,3,0,435401,,,5/P
play,3,0,425659,,,S8/L
play,3,0,430261,,,SB2
play,3,0,430261,,,8/F.2-3
play,3,0,346867,,,63/G
play,3,1,116248,,,7/F
play,3,1,447789,,,K
play,3,1,430917,,,E3
play,3,1,115370,,,W.1-2
play,3,1,133140,,,K
play,4,0,408219,,,S9/L
play,4,0,430571,,,D7/F.1-H
play,4,0,449448,,,K
play,4,0,276345,,,63/G
play,4,0,435398,,,K
play,4,1,150273,,,W
play,4,1,430639,,,HP.1-2
play,4,1,434567,,,1(B)14()/LDP.2X2
play,4,1,458222,,,7/L
play,5,0,435401,,,31/BG
play,5,0,425659,,,63/G
play,5,0,430261,,,6/P
play,5,1,116248,,,43/G
play,5,1,447789,,,FLE3/PF
play,5,1,447789,,,T9/L
play,5,1,430917,,,FC4.3X3(425);B-2
play,5,1,115370,,,7/F
play,6,0,346867,,,D7/F
play,6,0,408219,,,43/G.2-3
play,6,0,430571,,,8/SF.3-H
play,6,0,449448,,,W
play,6,0,276345,,,SB2
play,6,0,276345,,,K
play,6,1,133140,,,NP
sub,407867,Jimmy Journell,0,6,1
play,6,1,150273,,,NP
sub,279912,Raul Gonzalez,0,9,7
play,6,1,133140,,,7/F
play,6,1,150273,,,8/L
play,6,1,430639,,,W
play,6,1,434567,,,4/P
play,7,0,279912,,,NP
sub,430917,Mike Fontenot,1,3,4
play,7,0,435401,,,NP
sub,133140,Scott McClain,1,5,5
play,7,0,425659,,,NP
sub,434566,Russ Rohlicek,1,7,1
play,7,0,430261,,,NP
sub,451687,James Hoffpauir,1,9,3
play,7,0,279912,,,53/G
play,7,0,435401,,,W
play,7,0,425659,,,K+CS2
play,7,1,451687,,,8/F
play,7,1,116248,,,W
play,7,1,447789,,,K+SB2
play,7,1,430917,,,NP
sub,434118,Carmen Cali,0,2,1
play,7,1,115370,,,NP
sub,115224,Wilton Guerrero,0,6,4
play,7,1,430917,,,13/G
play,8,0,430261,,,63/G
play,8,0,346867,,,43/G
play,8,0,408219,,,13/G
play,8,1,115370,,,K
play,8,1,133140,,,5/L
play,8,1,150273,,,S7/L
play,8,1,434566,,,NP
sub,407778,David Kelton,1,7,11
play,8,1,434567,,,NP
sub,407356,Brandon Berger,0,2,9
play,8,1,451687,,,NP
sub,430261,Peter Zoccolillo,0,3,3
play,8,1,116248,,,NP
sub,111241,Toby Borland,0,5,1
play,8,1,407778,,,SB2
play,8,1,407778,,,63/G
play,9,0,115224,,,NP
sub,435278,Jermaine Van Buren,1,7,1
play,9,0,115224,,,S9/G
play,9,0,449448,,,SB2
play,9,0,449448,,,54/SH.2-3
play,9,0,276345,,,PB.3-H
play,9,0,276345,,,43/G
play,9,0,279912,,,K
play,9,1,434567,,,53/G
play,9,1,451687,,,S9/L
play,9,1,116248,,,S1/G.1-2
play,9,1,447789,,,S9/G.1-3;2-H
play,9,1,430917,,,8/SF.3-H
play,9,1,115370,,,9/F
id,IowPCL200505190
info,visteam,FrePCL
info,hometeam,IowPCL
info,date,2005/05/19
start,285070,Doug Clark,0,1,7
start,214950,Mickey Lopez,0,2,5
start,425821,Todd Linden,0,3,9
start,453941,Mike Cervenak,0,4,3
start,425822,Adam Shabala,0,5,8
start,150251,Yamid Haad,0,6,2
start,425823,Jamie Athas,0,7,4
start,425824,Angel Chavez,0,8,6
start,430912,Matt Cain,0,9,1
start,116248,Trenidad Hubbard,1,1,8
start,447789,Dwaine Bacon,1,2,7
start,407778,David Kelton,1,3,9
