id,AanAZL200506230
info,visteam,AmaAZL
info,hometeam,AanAZL
info,date,2005/06/23
play,8,0,461416,,,K
play,8,0,488905,,,63/G
play,8,0,446653,,,7/F
play,8,1,489283,,,NP
sub,445213,Brandon Kintzler,0,0,1
play,8,1,489283,,,43/G
play,8,1,446574,,,63/G
play,8,1,444939,,,6/P
play,9,0,489821,,,S4/G
play,9,0,459422,,,7/F
play,9,0,449062,,,2/PF
play,9,0,489924,,,FC6/G.1X2(64)
id,AanAZL200507050
info,visteam,AgiAZL
info,hometeam,AanAZL
info,date,2005/07/05
start,460322,Antoan Richardson,0,1,8
start,461435,Bradley Groth,0,2,4
start,489922,Rich Janeway,0,3,3
start,489923,Greg McCarthy,0,4,2
start,466363,Ariel Nunez,0,5,9
start,469837,Nestor Rojas,0,6,10
start,452748,John Acha,0,7,5
start,471190,Hector Perez,0,8,7
start,463748,Sharlon Schoop,0,9,6
start,488915,Robert Grace,0,0,1
start,488889,Cody Fuller,1,1,8
start,456483,Larry Infante,1,2,4
start,457116,Josh Davies,1,3,6
start,456505,Matt Ryan,1,4,3
start,489283,Darrell Sales,1,5,5
start,446574,Tyler Johnson,1,6,7
start,444939,Grant Harper,1,7,10
start,450288,Luis Rivera,1,8,9
start,455117,Martin Maldonado,1,9,2
start,445001,Robert Cassevah,1,0,1
play,1,0,460322,,,S5/BG
play,1,0,461435,,,4(1)3/G4/GDP
play,1,0,489922,,,S8/L
play,1,0,489923,,,K
play,1,1,488889,,,63/G
play,1,1,456483,,,63/G
play,1,1,457116,,,6/L
play,2,0,466363,,,63/G
play,2,0,469837,,,HP
play,2,0,452748,,,D7/L.1-3
play,2,0,471190,,,W
play,2,0,463748,,,7/F.3XH(72)
play,2,1,456505,,,K23
play,2,1,489283,,,S8/L
play,2,1,446574,,,6(1)3/G6/GDP
play,3,0,460322,,,S6/G
play,3,0,461435,,,SB2
play,3,0,461435,,,S7/L.2-3
play,3,0,489922,,,3(B)3()/LDP
play,3,0,489923,,,43/G
play,3,1,444939,,,63/G
play,3,1,450288,,,63/G
play,3,1,455117,,,53/G
play,4,0,466363,,,8/F
play,4,0,469837,,,9/F
play,4,0,452748,,,43/G
play,4,1,488889,,,6/L
play,4,1,456483,,,S7/F
play,4,1,457116,,,6(1)3/G6/GDP
play,5,0,471190,,,S8/G
play,5,0,463748,,,13/SH.1-2
play,5,0,460322,,,HR/F.2-H
play,5,0,461435,,,7/F
play,5,0,489922,,,W
play,5,0,489923,,,CS2
play,5,1,456505,,,53/G
play,5,1,489283,,,D9/L
play,5,1,446574,,,PO2(E?).2-3
play,5,1,446574,,,K
play,5,1,444939,,,K
play,6,0,466363,,,NP
sub,467157,Bradley Beck,1,0,1
play,6,0,489923,,,W
play,6,0,466363,,,POCS2(134)
play,6,0,466363,,,8/F
play,6,0,469837,,,53/G
play,6,1,450288,,,NP
sub,451770,Ryan McGovern,0,0,1
play,6,1,450288,,,W
play,6,1,455117,,,9/FF
play,6,1,488889,,,HP.1-2
play,6,1,456483,,,W.1-2;2-3
play,6,1,457116,,,NP
sub,462980,Carlos De La Rosa,0,0,1
play,6,1,457116,,,5(2)3/G5/GDP
play,7,0,452748,,,NP
sub,458717,Thomas Mendoza,1,0,1
play,7,0,452748,,,S5/BG
play,7,0,471190,,,K
play,7,0,463748,,,PO1(23)
play,7,0,463748,,,6/P
