id,WisMDW200604060
info,visteam,PeoMDW
info,hometeam,WisMDW
info,date,2006/04/06
play,3,0,456596,,,D7/G.1-3
play,3,0,445962,,,S4/G.2XH(42);3-H
play,3,1,463622,,,NP
sub,489148,Dallas Morris,0,5,3
play,3,1,463622,,,2/PF
play,3,1,472528,,,63/G
play,3,1,488897,,,W
play,3,1,489818,,,K
play,4,0,458923,,,8/F
play,4,0,488795,,,W
play,4,0,461871,,,53/G.1-2
play,4,0,444480,,,K23
play,4,1,459431,,,W
play,4,1,489279,,,SB2
play,4,1,489279,,,9/F.2-3
play,4,1,451178,,,6/P
play,4,1,466307,,,S7/G.3-H
play,4,1,451587,,,D8/L.1-H
play,4,1,463622,,,S7/G.2XH
play,5,0,459411,,,NP
sub,452248,Rollie Gibson,1,0,1
play,5,0,459411,,,4/P
play,5,0,489148,,,8/F
play,5,0,444127,,,7/F
play,5,1,472528,,,NP
sub,490946,Chris Howell,0,0,1
play,5,1,472528,,,S8/L.BX2(86)
play,5,1,488897,,,1/BP
play,5,1,489818,,,K
play,6,0,456596,,,D7/L
play,6,0,445962,,,W
play,6,0,458923,,,23/SH.1-2;2-3
play,6,0,488795,,,FC5.2-3;3XH(52)
play,6,0,461871,,,WP.1-2;3-H
play,6,0,461871,,,6/L
play,6,1,459431,,,S9/G
play,6,1,489279,,,W.1-2
play,6,1,451178,,,6(2)4(1)3/GTP/G6.1X2;2X3
play,7,0,444480,,,S8/L
play,7,0,459411,,,K
play,7,0,489148,,,4/P
play,7,0,444127,,,K
play,7,1,466307,,,31/G
play,7,1,451587,,,4/P
play,7,1,463622,,,NP
sub,490563,Robert Hudson,1,1,11
play,7,1,490563,,,63/G
play,8,0,456596,,,NP
sub,490563,Robert Hudson,1,1,5
play,8,0,445962,,,NP
sub,456681,Harold Williams,1,0,1
play,8,0,456596,,,S8/G
play,8,0,445962,,,K
play,8,0,458923,,,WP.1-2
play,8,0,458923,,,43/G.2-3
play,8,0,488795,,,7/F
play,8,1,472528,,,NP
sub,453519,Richard Aldridge,0,0,1
play,8,1,472528,,,7/F
play,8,1,488897,,,K
play,8,1,489818,,,K
play,9,0,461871,,,NP
sub,458258,Joseph Woerman,1,0,1
play,9,0,461871,,,K
play,9,0,444480,,,K23
play,9,0,459411,,,W
play,9,0,489148,,,PB.1-2
play,9,0,489148,,,W
play,9,0,444127,,,53/G
play,9,1,459431,,,NP
sub,450591,James West,0,0,1
play,9,1,459431,,,8/F
play,9,1,489279,,,53/G
play,9,1,451178,,,K
id,WisMDW200604140
info,visteam,CedMDW
info,hometeam,WisMDW
info,date,2006/04/14
start,488795,Bradley Coon,0,1,8
start,456483,Larry Infante,0,2,6
start,444480,Patrick Reilly,0,3,3
start,456596,Jordan Renz,0,4,10
start,444127,Warner A. Madrigal,0,5,9
start,445962,Brett Martinez,0,6,2
start,489148,Dallas Morris,0,7,5
start,446082,Madison Edwards,0,8,7
start,458923,Ryan Leahy,0,9,4
start,447821,Stephen Marek,0,0,1
start,452727,Casey Craig,1,1,7
start,490563,Robert Hudson,1,2,5
start,459431,Michael Saunders,1,3,9
start,489818,J. B. Tucker,1,4,2
start,489279,Bryan Sabatella,1,5,3
start,472528,Luis Valbuena,1,6,4
start,488897,Alex Gary,1,7,8
start,466307,Eddy Hernandez,1,8,10
start,451587,Jeffrey Dominguez,1,9,6
start,468477,Marwin Vega,0,0,1
play,1,0,488795,,,D7/F
play,1,0,456483,,,13/SH.2-3
play,1,0,444480,,,HP
play,1,0,456596,,,8/SF.3-H
play,1,0,444127,,,CS2
play,1,1,452727,,,S3/G
play,1,1,490563,,,53/SH.1-2
play,1,1,459431,,,WP.2-3
play,1,1,459431,,,W
