id,BluAPP200506240
info,visteam,DanAPP
info,hometeam,BluAPP
info,date,2005/06/24
play,2,0,474892,,,K
play,2,1,473224,,,K
play,2,1,452064,,,1/L
play,2,1,455108,,,HP
play,2,1,489761,,,K
play,3,0,489411,,,S8/G
play,3,0,473196,,,46(1)3/GDP/G4
play,3,0,444560,,,53/G
play,3,1,459933,,,K
play,3,1,489760,,,S9/F
play,3,1,489160,,,K
play,3,1,446544,,,K
play,4,0,488811,,,53/G
play,4,0,467830,,,K23
play,4,0,463019,,,3/G
play,4,1,447840,,,63/G
play,4,1,473224,,,8/F
play,4,1,452064,,,7/F
play,5,0,489144,,,K
play,5,0,464394,,,W
play,5,0,474892,,,HP.1-2
play,5,0,489411,,,NP
sub,457673,Jeffrey Moore,1,0,1
play,5,0,489411,,,3/PF
play,5,0,473196,,,WP.1-2;2-3
play,5,0,473196,,,K23
play,5,1,455108,,,9/F
play,5,1,489761,,,K
play,5,1,459933,,,13/G
play,6,0,444560,,,13/G
play,6,0,488811,,,53/G
play,6,0,467830,,,63/G
play,6,1,489760,,,NP
sub,446204,Alexander Woodson,0,0,1
play,6,1,489760,,,NP
sub,458568,Jonathan Tucker,1,2,11
play,6,1,458568,,,8/F
play,6,1,489160,,,K
play,6,1,446544,,,K
play,7,0,463019,,,NP
sub,458568,Jonathan Tucker,1,2,4
play,7,0,463019,,,2/PF
play,7,0,489144,,,9/F
play,7,0,464394,,,9/F
play,7,1,447840,,,NP
sub,458593,Joey Howell,1,5,11
play,7,1,458593,,,53/G
play,7,1,473224,,,S7/L
play,7,1,452064,,,K
play,7,1,455108,,,8/F
play,8,0,474892,,,NP
sub,458593,Joey Howell,1,5,10
play,8,0,474892,,,6/L
play,8,0,489411,,,S9/L
play,8,0,473196,,,NP
sub,464993,Santo Garcia,0,8,11
play,8,0,464993,,,K
play,8,0,444560,,,K
play,8,1,489761,,,NP
sub,463019,Salvador Sanchez,0,3,9
play,8,1,459933,,,NP
sub,464993,Santo Garcia,0,8,8
play,8,1,458568,,,NP
sub,456891,Tim Sabo,0,0,1
play,8,1,489761,,,K
play,8,1,459933,,,K
play,8,1,458568,,,5/L
play,9,0,488811,,,NP
sub,446388,Daniel Lonsberry,1,0,1
play,9,0,488811,,,HP
play,9,0,467830,,,NP
sub,461409,Michael Swain,0,2,11
play,9,0,461409,,,K
play,9,0,463019,,,46(1)3/GDP/G4
play,9,1,489160,,,NP
sub,461409,Michael Swain,0,2,4
play,9,1,489160,,,S8/L
play,9,1,446544,,,FC1/B.1X2(16);B-1
play,9,1,458593,,,9/F
play,9,1,473224,,,FC5/G.1X2(54)
play,10,0,489144,,,S5/BG
play,10,0,464394,,,3/BP
play,10,0,474892,,,7/F
play,10,0,489411,,,S8/G.1-3
play,10,0,464993,,,D7/F.1-H;3-H;B-3
play,10,0,444560,,,6/P
play,10,1,452064,,,W
play,10,1,455108,,,NP
sub,488652,Miguel Abreu,1,7,12
play,10,1,455108,,,D7/F.1-3
play,10,1,489761,,,WP.2-3;3-H
play,10,1,489761,,,K
play,10,1,459933,,,S8/G.3-H
play,10,1,458568,,,SB2
play,10,1,458568,,,7/L
play,10,1,489160,,,IW
play,10,1,446544,,,W.1-2;2-3
play,10,1,458593,,,NP
sub,489332,Steven Squires,0,0,1
play,10,1,458593,,,4/P
play,11,0,488811,,,NP
sub,472541,Leonardo Huches,1,7,2
play,11,0,461409,,,NP
sub,459739,Tag Horner,1,0,1
play,11,0,488811,,,HP
play,11,0,461409,,,NP
sub,444493,Reymundo Tavares,0,2,11
play,11,0,444493,,,14/SH.1-2
play,11,0,463019,,,S7/G.2XH
play,11,0,489144,,,E6.1-2
play,11,0,464394,,,K
play,11,1,473224,,,NP
sub,444493,Reymundo Tavares,0,2,4
play,11,1,473224,,,HR/F
id,BluAPP200506280
info,visteam,BriAPP
info,hometeam,BluAPP
info,date,2005/06/28
start,464993,Santo Garcia,0,1,8
start,461409,Michael Swain,0,2,4
start,463019,Salvador Sanchez,0,3,9
start,489144,Joshua Morgan,0,4,3
start,444493,Reymundo Tavares,0,5,2
start,489411,Kris Welker,0,6,10
start,474892,Vernon Carter,0,7,5
start,488772,Marcos Causey,0,8,7
start,444560,Leonardo Acosta,0,9,6
start,445183,Logan Williamson,0,0,1
start,458568,Jonathan Tucker,1,1,4
start,459933,Robert Andrews,1,2,8
start,489160,Stuart Musslewhite,1,3,6
start,446544,Andrew Moffitt,1,4,7
start,473224,Joel Pacheco,1,5,3
start,458593,Joey Howell,1,6,9
start,455108,Denver Kitch,1,7,5
start,447840,Kevin Kotch,1,8,2
start,446561,Alex Turner,1,9,10
start,457903,Bryce Chamberlin,1,0,1
play,1,0,464993,,,K
play,1,0,461409,,,D8/F
play,1,0,463019,,,7/F
play,1,0,489144,,,K
play,1,1,458568,,,63/G
play,1,1,459933,,,3/PF
play,1,1,489160,,,W
play,1,1,446544,,,K
play,2,0,444493,,,53/G
play,2,0,489411,,,43/G
play,2,0,474892,,,HP
play,2,0,488772,,,K
play,2,1,473224,,,8/F
play,2,1,458593,,,W
play,2,1,455108,,,K
play,2,1,447840,,,S6/G.1-2
play,2,1,446561,,,53/G
play,3,0,placeholder,,,NP
sub,448839,Julio Soriano,1,0,1
play,3,0,444560,,,K23
play,3,0,464993,,,5/P
play,3,0,461409,,,9/F
play,3,1,458568,,,K
play,3,1,459933,,,D7/F
play,3,1,489160,,,4/L
play,3,1,446544,,,IW
play,3,1,473224,,,SB3;SB2
play,3,1,473224,,,S4/G.2-3;3-H
play,3,1,458593,,,SB2
play,3,1,458593,,,E1.2-3;3-H
play,3,1,455108,,,K
play,4,0,463019,,,S7/G
play,4,0,489144,,,PO1(13)
play,4,0,489144,,,S7/G
play,4,0,444493,,,13/SH.1-2
play,4,0,489411,,,143/G1
play,4,1,447840,,,NP
sub,451135,Daniel Cortes,0,0,1
play,4,1,447840,,,W
play,4,1,446561,,,D7/F.1-3
play,4,1,458568,,,8/SF.2-3;3-H
play,4,1,459933,,,T9/F.3-H
play,4,1,489160,,,NP
sub,461420,Nichols Walters,0,0,1
play,4,1,489160,,,K
play,4,1,446544,,,PB.3-H
play,4,1,446544,,,W
play,4,1,473224,,,S7/G.1X3
play,5,0,474892,,,NP
sub,489760,Rene Aqueron,1,7,5
play,5,0,474892,,,S9/F
play,5,0,488772,,,HP.1-2
play,5,0,444560,,,S7/F.1-2;2-3
play,5,0,464993,,,HP.1-2;2-3;3-H
play,5,0,461409,,,W.1-2;2-3;3-H
play,5,0,463019,,,NP
sub,099999,Luis Lebron,1,0,1
play,5,0,463019,,,K
play,5,0,489144,,,K
play,5,0,444493,,,K
play,5,1,458593,,,63/G
play,5,1,489760,,,63/G
play,5,1,447840,,,S8/G
play,5,1,446561,,,S9/G.1-2
play,5,1,458568,,,FC6/G.1X2(64)
play,6,0,489411,,,K
play,6,0,474892,,,K
play,6,0,488772,,,K
play,6,1,459933,,,S9/G
play,6,1,489160,,,46(1)3/GDP/G4
play,6,1,446544,,,9/F
play,7,0,444560,,,D7/G
play,7,0,464993,,,K
play,7,0,461409,,,K
play,7,0,463019,,,S9/G.2-H;BX2(96)
play,7,1,473224,,,NP
sub,489244,Jason Rice,0,0,1
play,7,1,473224,,,43/G
play,7,1,458593,,,K
play,7,1,489760,,,S5/G
play,7,1,447840,,,53/G
play,8,0,489144,,,NP
sub,460348,Gustavo Camacho,1,0,1
play,8,0,489144,,,5/P
play,8,0,444493,,,13/G
play,8,0,489411,,,HP
play,8,0,474892,,,K
play,8,1,446561,,,S7/G
play,8,1,458568,,,SB2
play,8,1,458568,,,K
play,8,1,459933,,,S8/G.2-H
play,8,1,489160,,,S8/G.1-2
play,8,1,446544,,,S9/G.1-3;2-H
play,8,1,473224,,,K
play,8,1,458593,,,8/F
play,9,0,488772,,,6/P
play,9,0,444560,,,NP
sub,488811,Aaron Cunningham,0,9,11
play,9,0,488811,,,K
play,9,0,464993,,,63/G
id,BluAPP200506290
info,visteam,BriAPP
info,hometeam,BluAPP
info,date,2005/06/29
start,488811,Aaron Cunningham,0,1,7
start,467830,Franklin Batista,0,2,4
start,463019,Salvador Sanchez,0,3,8
start,489144,Joshua Morgan,0,4,3
start,489411,Kris Welker,0,5,2
start,464394,Christian Acosta,0,6,10
start,474892,Vernon Carter,0,7,5
start,473196,Alex Lachapel,0,8,9
start,444560,Leonardo Acosta,0,9,6
start,457043,Jacob Jean,0,0,1
start,459933,Robert Andrews,1,1,8
start,446561,Alex Turner,1,2,7
start,446544,Andrew Moffitt,1,3,10
start,473224,Joel Pacheco,1,4,3
start,452064,Dan Puente,1,5,2
start,489760,Rene Aqueron,1,6,5
start,489761,Gilberto Martinez,1,7,9
start,458568,Jonathan Tucker,1,8,6
start,488652,Miguel Abreu,1,9,4
start,471177,Wilfrido Perez,1,0,1
play,1,0,488811,,,9/F
play,1,0,467830,,,K
play,1,0,463019,,,53/G
play,1,1,459933,,,D8/F
play,1,1,446561,,,SB3
play,1,1,446561,,,K
play,1,1,446544,,,53/G.3-H
play,1,1,473224,,,E5
play,1,1,452064,,,W.1-2
play,1,1,489760,,,D7/G.1-3;2-H
play,1,1,489761,,,S8/G.2-H;3-H
play,1,1,458568,,,S6/G.1-2
play,1,1,488652,,,K
play,2,0,489144,,,7/L
play,2,0,489411,,,43/G
play,2,0,464394,,,E5
play,2,0,474892,,,S9/G.1-2
play,2,0,473196,,,63/G
play,2,1,459933,,,D7/F
play,2,1,446561,,,W
play,2,1,446544,,,NP
sub,489332,Steven Squires,0,0,1
play,2,1,446544,,,9/F
play,2,1,473224,,,HR/F.1-H;2-H
play,2,1,452064,,,D7/L
play,2,1,489760,,,D9/F.2-H
play,2,1,489761,,,S9/L.2-H
play,2,1,458568,,,S7/G.1-3;B-2
play,2,1,488652,,,NP
sub,489433,Joseph Winn,0,0,1
play,2,1,488652,,,7/SF.3-H
play,2,1,459933,,,63/G
play,3,0,444560,,,4/P
play,3,0,488811,,,7/F
play,3,0,467830,,,D9/L
play,3,0,463019,,,K
play,3,1,446561,,,D9/F
play,3,1,446544,,,HR/F.2-H
play,3,1,473224,,,S5/G
play,3,1,452064,,,6/P
play,3,1,489760,,,PB.1-2
play,3,1,489760,,,K
play,3,1,489761,,,S6/G.2-3
play,3,1,458568,,,53/G
play,4,0,489144,,,NP
sub,489762,Leonel Yeme,1,1,9
play,4,0,489411,,,NP
sub,489761,Gilberto Martinez,1,7,8
play,4,0,489144,,,9/F
play,4,0,489411,,,S7/L
play,4,0,464394,,,W.1-2
play,4,0,474892,,,K
play,4,0,473196,,,FC6/G.1X2(64)
play,4,1,488652,,,NP
sub,464993,Santo Garcia,0,3,8
play,4,1,488652,,,HR/F
play,4,1,489762,,,53/G
play,4,1,446561,,,K
play,4,1,446544,,,NP
sub,457780,Kieron Pope,1,3,11
play,4,1,457780,,,K
play,5,0,444560,,,NP
sub,457780,Kieron Pope,1,3,10
play,5,0,444560,,,63/G
play,5,0,488811,,,53/G
play,5,0,467830,,,S8/G
play,5,0,464993,,,K
play,5,1,473224,,,NP
sub,458928,Dustin Shafer,0,4,3
play,5,1,452064,,,NP
sub,489743,Trey Combs,0,5,2
play,5,1,489760,,,NP
sub,488825,Timothy Day,0,0,1
play,5,1,473224,,,63/G
play,5,1,452064,,,K
play,5,1,489760,,,E5
play,5,1,489761,,,K
play,6,0,458928,,,NP
sub,447835,Andrew Schindling,1,0,1
play,6,0,458928,,,9/F
play,6,0,489743,,,S8/F.BX2(41)
play,6,0,464394,,,2/PF
play,6,1,458568,,,E6
play,6,1,488652,,,8/F
play,6,1,489762,,,HR/F.1-H
play,6,1,446561,,,S7/G
play,6,1,457780,,,E4.1-2
play,6,1,473224,,,16(1)3/GDP/G1
play,7,0,474892,,,63/G
play,7,0,473196,,,K
play,7,0,444560,,,43/G
play,7,1,452064,,,9/L
play,7,1,489760,,,K
play,7,1,489761,,,K
play,8,0,488811,,,43/G
play,8,0,467830,,,K
play,8,0,464993,,,K
play,8,1,458568,,,NP
sub,446204,Alexander Woodson,0,0,1
play,8,1,458568,,,3/G
play,8,1,488652,,,W
play,8,1,489762,,,WP.1-2
play,8,1,489762,,,HP
play,8,1,446561,,,K
play,8,1,457780,,,3/G
play,9,0,458928,,,9/F
play,9,0,489743,,,13/G
play,9,0,464394,,,W
play,9,0,474892,,,D7/G.1XH
id,BluAPP200507040
info,visteam,PriAPP
info,hometeam,BluAPP
info,date,2005/07/04
start,489094,John Matulia,0,1,8
start,488701,Ryan Bethel,0,2,4
start,458578,Christopher Cunningham,0,3,7
start,446612,Matthew Fields,0,4,3
start,446261,Matthew Devins,0,5,10
start,444981,Ryan Royster,0,6,9
start,451190,Thomas Lagreid,0,7,2
start,489101,Michael McCormick,0,8,5
start,489705,Kevin Colon,0,9,6
start,448749,Jason Cayton,0,0,1
start,459933,Robert Andrews,1,1,10
start,489160,Stuart Musslewhite,1,2,6
start,452064,Dan Puente,1,3,3
start,447840,Kevin Kotch,1,4,2
start,446561,Alex Turner,1,5,10
start,489762,Leonel Yeme,1,6,9
start,455108,Denver Kitch,1,7,5
start,488652,Miguel Abreu,1,8,7
start,489761,Gilberto Martinez,1,9,8
start,471177,Wilfrido Perez,1,0,1
