id,KinCAR200504080
info,visteam,WinCAR
info,hometeam,KinCAR
info,date,2005/04/08
play,4,1,457830,,,63/G.2-3
play,4,1,444515,,,8/SF.3-H
play,4,1,446897,,,D7/F
play,4,1,444340,,,43/G
play,5,0,445945,,,NP
sub,453891,Matt Davis,1,0,1
play,5,0,445945,,,4/L
play,5,0,452658,,,W
play,5,0,458665,,,K
play,5,0,456390,,,S7/G.1-2
play,5,0,457881,,,K
play,5,1,471808,,,NP
sub,458661,Joe Rogers,0,0,1
play,5,1,471808,,,13/G
play,5,1,444514,,,9/F
play,5,1,449775,,,W
play,5,1,430957,,,K
play,6,0,445587,,,D7/L
play,6,0,461257,,,SH.2-3;B-1
play,6,0,458902,,,WP.1-2;3-H
play,6,0,458902,,,43/G.2-3
play,6,0,451506,,,S7/G.3-H;BX2(74)
play,6,0,445945,,,13/G
play,6,1,450260,,,D7/F
play,6,1,457830,,,K
play,6,1,444515,,,CS3
play,6,1,444515,,,9/F
play,7,0,452658,,,HP
play,7,0,458665,,,HP.1-2
play,7,0,456390,,,13/G.1-2;2-3
play,7,0,457881,,,FC5.2-3;3XH(52)
play,7,0,445587,,,8/F
play,7,1,446897,,,HP
play,7,1,444340,,,K
play,7,1,471808,,,S7/G.1-2
play,7,1,444514,,,K
play,7,1,449775,,,4/L
play,8,0,461257,,,NP
sub,458001,Sean Smith,1,0,1
play,8,0,461257,,,7/F
play,8,0,458902,,,K
play,8,0,451506,,,T9/L
play,8,0,445945,,,W
play,8,0,452658,,,S8/G.1-2;3-H
play,8,0,458665,,,K
play,8,1,430957,,,S5/G
play,8,1,450260,,,8/F
play,8,1,457830,,,PB.1-2
play,8,1,457830,,,8/F
play,8,1,444515,,,D9/L.2-H
play,8,1,446897,,,W
play,8,1,444340,,,NP
sub,437557,Peter Fisher,0,0,1
play,8,1,444340,,,5/L
play,9,0,456390,,,W
play,9,0,457881,,,FLE3/PF
play,9,0,457881,,,K
play,9,0,445587,,,SB2
play,9,0,445587,,,K
play,9,0,461257,,,W
play,9,0,458902,,,FC5/G.2X3(5)
play,9,1,471808,,,43/G
play,9,1,444514,,,63/G
play,9,1,449775,,,8/F
id,KinCAR200504140
info,visteam,WilCAR
info,hometeam,KinCAR
info,date,2005/04/14
start,458902,Ignacio Suarez,0,1,6
start,451506,Zach Borowiak,0,2,4
start,445945,Ian Bladergroen,0,3,3
start,452658,Scott White,0,4,10
start,458665,Chad Spann,0,5,5
start,456390,Michael Hall,0,6,7
start,445587,Bryan Goelz,0,7,9
start,457881,Clinton Chauncey,0,8,2
start,461257,Gregory Stone,0,9,8
start,434667,Juan Cedeno,0,0,1
start,444514,Nathan Panther,1,1,7
start,449775,Brandon Pinckney,1,2,4
start,430957,Brad Snyder,1,3,8
start,450260,Kevin Kouzmanoff,1,4,5
start,457830,Ryan Goleski,1,5,9
start,444515,Shaun Larkin,1,6,10
start,430955,David Wallace,1,7,2
start,453892,Ryan Mulhern,1,8,3
start,452967,Luis Cotto,1,9,6
start,445939,Nick Pesco,1,0,1
play,1,0,458902,,,W
play,1,0,451506,,,7/F
play,1,0,445945,,,CS2
play,1,0,445945,,,31/G
play,1,1,444514,,,K
play,1,1,449775,,,53/G
play,1,1,430957,,,S6/G
play,1,1,450260,,,D7/L.1-H
play,1,1,457830,,,D9/L.2-H
play,1,1,444515,,,K
play,2,0,452658,,,9/F
play,2,0,458665,,,8/F
play,2,0,456390,,,K
play,2,1,430955,,,K
play,2,1,453892,,,43/G
play,2,1,452967,,,31/G
play,3,0,445587,,,5/P
play,3,0,457881,,,S8/L
