id,WisMDW200505060
info,visteam,DayMDW
info,hometeam,WisMDW
info,date,2005/05/06
start,465777,Matt Parrish,0,7,9
start,444363,Andrew Graham,0,8,2
start,447770,Justin Justice,0,9,8
start,457453,Jair Jurrjens,0,0,1
start,452678,Asdrubal Cabrera,1,1,4
start,453444,Joshua Womack,1,2,8
start,453531,Robert Johnson,1,3,2
start,449168,Matt Tuiasosopo,1,4,6
start,472594,Yung Chi Chen,1,5,10
start,451573,Sebastien Boucher,1,6,7
start,462523,Brandon Green,1,7,5
start,453963,Thomas Hubbard,1,8,3
start,444125,Michael Wilson,1,9,9
start,451202,Aaron Jensen,1,0,1
play,1,0,460686,,,S9/L
play,1,0,457133,,,HR/F.1-H
play,1,0,461838,,,K
play,1,0,459438,,,HP
play,1,0,457808,,,CS2
play,1,0,457808,,,53/G
play,1,1,452678,,,K
play,1,1,453444,,,53/G
play,1,1,453531,,,8/F
play,2,0,448226,,,W
play,2,0,465777,,,K
play,2,0,444363,,,8/F
play,2,0,447770,,,43/G
play,2,1,449168,,,63/G
play,2,1,472594,,,S9/F
play,2,1,451573,,,SB2
play,2,1,451573,,,W
play,2,1,462523,,,7/F
play,2,1,453963,,,S5/G.1-2;2-3
play,2,1,444125,,,K
play,3,0,460686,,,2/PF
play,3,0,457133,,,S7/L
play,3,0,461838,,,K+SB2;1-3(E6)(E6)
play,3,0,459438,,,D9/F.3-H
play,3,0,457808,,,S8/L.2-H
play,3,0,448226,,,3/PF
play,3,1,452678,,,43/G
play,3,1,453444,,,8/F
play,3,1,453531,,,43/G
play,4,0,465777,,,D7/F
play,4,0,444363,,,9/F.2-3
play,4,0,447770,,,63/G
play,4,0,460686,,,K
play,4,1,449168,,,8/F
play,4,1,472594,,,K
play,4,1,451573,,,43/G
play,5,0,457133,,,S8/G
play,5,0,461838,,,FC5/G.1X2(54);B-1
play,5,0,459438,,,K
play,5,0,457808,,,53/G
play,5,1,462523,,,6/P
play,5,1,453963,,,K
play,5,1,444125,,,9/F
play,6,0,448226,,,NP
sub,465754,Stephen Grasley,1,0,1
play,6,0,448226,,,3/L
play,6,0,465777,,,7/F
play,6,0,444363,,,HP
play,6,0,447770,,,FC6/G.1X2(64)
play,6,1,452678,,,T9/F
play,6,1,453444,,,K
play,6,1,453531,,,K
play,6,1,449168,,,HP
play,6,1,472594,,,D9/L.1-3;3-H
play,6,1,451573,,,63/G
play,7,0,460686,,,53/G
play,7,0,457133,,,W
play,7,0,461838,,,SB2
play,7,0,461838,,,43/G.2-3
play,7,0,459438,,,S6/G.3-H
play,7,0,457808,,,W.1-2
play,7,0,448226,,,7/F
play,7,1,462523,,,E3
play,7,1,453963,,,S9/G.1-2
play,7,1,444125,,,S8/G.1-2;2-H
play,7,1,452678,,,NP
sub,457854,Anthony Tomey,0,0,1
play,7,1,452678,,,E9.1-H;2-H;B-3
play,7,1,453444,,,3/G
play,7,1,453531,,,K
play,7,1,449168,,,K
play,8,0,465777,,,3/PF
play,8,0,444363,,,S7/G
play,8,0,447770,,,4(1)3/G4/GDP
play,8,1,472594,,,9/F
play,8,1,451573,,,K
play,8,1,462523,,,3/L
play,9,0,460686,,,NP
sub,455597,Craig James,1,0,1
