id,ColSAL200505040
info,visteam,AugSAL
info,hometeam,ColSAL
info,date,2005/05/04
sub,446884,T. J. Beam,0,0,1
play,8,1,458239,,,S7/F
play,8,1,461315,,,8/F
play,8,1,448622,,,S7/F.1-2
play,8,1,448596,,,K
play,8,1,465698,,,43/G
play,9,0,452675,,,S9/F
play,9,0,452780,,,W.1-2
play,9,0,444949,,,K
play,9,0,456394,,,6/P
play,9,0,462496,,,31/G
play,9,1,451640,,,NP
sub,446553,Mike Martinez,0,0,1
play,9,1,451640,,,31/G
play,9,1,448244,,,W
play,9,1,469845,,,D9/F.1-3
play,9,1,455088,,,K23
play,9,1,458239,,,K
id,ColSAL200505110
info,visteam,ChaSAL
info,hometeam,ColSAL
info,date,2005/05/11
start,456656,Tim Battle,0,1,8
start,458533,Ryan Haag,0,2,4
start,452675,Marcos Vechionacci,0,3,6
start,452780,Cody Ehlers,0,4,10
start,444949,Ben Jones,0,5,3
start,456394,Estee Harris,0,6,7
start,435407,Irwil Rojas,0,7,2
start,456033,Jonathan Poterson,0,8,9
start,459449,Grant Plumley,0,9,5
start,451600,Christian Garcia,0,0,1
start,448244,Sam Steidl,1,1,7
start,469845,Jamie Hoffmann,1,2,8
start,455088,Blake Dewitt,1,3,5
start,458239,Travis Denker,1,4,4
start,461315,Lucas May,1,5,10
start,448622,Daniel Batz,1,6,3
start,444871,James Peterson,1,7,9
start,468368,Gabriel Gutierrez,1,8,2
start,448596,David Nicholson,1,9,6
start,460211,Brandon Weeden,1,0,1
play,1,0,456656,,,W
play,1,0,458533,,,K
play,1,0,452675,,,PB.1-2
play,1,0,452675,,,K
play,1,0,452780,,,W
play,1,0,444949,,,S9/G.1-3;2-H;B-2
play,1,0,456394,,,6/P
play,1,1,448244,,,S7/G
play,1,1,469845,,,4/P
play,1,1,455088,,,6(1)3/G6/GDP
play,2,0,435407,,,43/G
play,2,0,456033,,,W
play,2,0,459449,,,9/F
play,2,0,456656,,,9/F
play,2,1,458239,,,T9/F
play,2,1,461315,,,S8/G.3-H
play,2,1,448622,,,S5/G.1-2
play,2,1,444871,,,46(1)3/GDP/G4.2-3
play,2,1,468368,,,43/G
play,3,0,458533,,,D8/F
play,3,0,452675,,,43/G.2-3
play,3,0,452780,,,WP.3-H
play,3,0,452780,,,W
play,3,0,444949,,,64(1)3/GDP/G6
play,3,1,448596,,,W
play,3,1,448244,,,SH.1-2;B-1
play,3,1,469845,,,K
play,3,1,455088,,,46(1)3/GDP/G4
play,4,0,456394,,,E3
play,4,0,435407,,,K
play,4,0,456033,,,SB2
play,4,0,456033,,,K
play,4,0,459449,,,9/F
play,4,1,458239,,,8/F
play,4,1,461315,,,7/F
play,4,1,448622,,,W
play,4,1,444871,,,43/G
play,5,0,456656,,,K
play,5,0,458533,,,S9/G
play,5,0,452675,,,7/F
