id,MisSL200505130
info,visteam,MobSL
info,hometeam,MisSL
info,date,2005/05/13
start,435263,Brian McCann,1,5,2
start,451664,Wes Timmons,1,6,10
start,438423,Juan Velazquez,1,7,5
start,459320,Jonathan Schuerholz,1,8,4
start,434682,Luis Hernandez,1,9,6
start,150053,Mike Porzio,1,0,1
play,1,0,442745,,,S8/L
play,1,0,448327,,,SB2
play,1,0,448327,,,S9/L.2-H
play,1,0,430321,,,SB2
play,1,0,430321,,,S7/G.2-H
play,1,0,442146,,,S9/G.1-3
play,1,0,150450,,,7/SF.3-H
play,1,0,452668,,,3/G.1-2
play,1,0,449867,,,S7/L.2-H
play,1,0,448843,,,SB2
play,1,0,448843,,,53/G
play,1,1,430643,,,K
play,1,1,348561,,,S8/L
play,1,1,429801,,,16(1)3/GDP/G1
play,2,0,445991,,,K
play,2,0,442745,,,8/F
play,2,0,448327,,,K
play,2,1,425796,,,7/F
play,2,1,435263,,,7/F
play,2,1,451664,,,7/F
play,3,0,430321,,,D8/L
play,3,0,442146,,,4/P
play,3,0,150450,,,53/G.2-3
play,3,0,452668,,,T8/L.3-H
play,3,0,449867,,,W
play,3,0,448843,,,43/G
play,3,1,438423,,,S9/L
play,3,1,459320,,,43/G.1-2
play,3,1,434682,,,S8/L.2-3
play,3,1,430643,,,K+PO1(23)
play,4,0,445991,,,43/BG
play,4,0,442745,,,K
play,4,0,448327,,,5/L
play,4,1,348561,,,8/F
play,4,1,429801,,,K
play,4,1,425796,,,K
play,5,0,430321,,,NP
sub,439309,Casey Dehart,1,0,1
play,5,0,430321,,,HR/F
play,5,0,442146,,,S7/L
play,5,0,150450,,,8/L
play,5,0,452668,,,FC5/G.1X2(54);B-1
play,5,0,449867,,,FC4/G.1X2(46)
play,5,1,435263,,,43/G
play,5,1,451664,,,7/F
play,5,1,438423,,,43/G
play,6,0,448843,,,K
play,6,0,445991,,,D7/G
play,6,0,442745,,,S8/L.2-3
play,6,0,448327,,,9/F
play,6,0,430321,,,13/G
play,6,1,459320,,,D7/L
play,6,1,434682,,,S7/L.2-3
play,6,1,430643,,,7/SF.1-2;3-H
play,6,1,348561,,,9/F
play,6,1,429801,,,S9/G.2-H
play,6,1,425796,,,K
play,7,0,442146,,,W
play,7,0,150450,,,HP.1-2
play,7,0,452668,,,E5.1-2;2-3
play,7,0,449867,,,64(1)3/GDP/G6.2-3;3-H
play,7,0,448843,,,9/L
play,7,1,435263,,,6/P
play,7,1,451664,,,4/P
play,7,1,438423,,,W
play,7,1,459320,,,W.1-2
play,7,1,434682,,,NP
sub,456755,Josh Parker,0,0,1
play,7,1,434682,,,8/F
play,8,0,445991,,,W
play,8,0,442745,,,43(1)6/GDP/G4
play,8,0,448327,,,8/L
play,8,1,430643,,,3/G
play,8,1,348561,,,S1/G
play,8,1,429801,,,S9/G.1-3
play,8,1,425796,,,9/SF.3-H
play,8,1,435263,,,3/G
play,9,0,430321,,,NP
sub,457450,Glenn Tucker,1,0,1
play,9,0,430321,,,HP
play,9,0,442146,,,DGR/F8.1-3
play,9,0,150450,,,S7/L.2-3;3-H
play,9,0,452668,,,7/SF.3-H
play,9,0,449867,,,64(1)3/GDP/G6
play,9,1,451664,,,NP
sub,456661,Brian Henderson,0,0,1
play,9,1,451664,,,63/G
play,9,1,438423,,,D8/F
play,9,1,459320,,,S7/L.2-3
play,9,1,434682,,,W.1-2
play,9,1,430643,,,FC6/G.1X2(64);2-3;3-H;B-1
play,9,1,348561,,,DI.1-2
play,9,1,429801,,,OA.3XH(21)
id,MisSL200505280
info,visteam,MonSL
info,hometeam,MisSL
info,date,2005/05/28
start,442745,Michael Curry,0,1,7
start,448327,Fernando Cortez,0,2,4
