id,BluAPP200606281
info,visteam,EliAPP
info,hometeam,BluAPP
info,date,2006/06/28
start,502335,Bobby Henson,1,7,5
start,472541,Leonardo Huches,1,8,2
start,462966,Andino Diaz,1,9,10
start,502790,Zachary Jevne,1,0,1
play,1,0,444481,,,W
play,1,0,placeholder,,,PO1(E?).1-3
play,1,0,462111,,,E6.3-H
play,1,0,445162,,,FC5/G.1X2(54);B-1
play,1,0,447737,,,D9/L.1-H
play,1,0,448646,,,8/F
play,1,0,458054,,,K
play,1,1,465753,,,53/G
play,1,1,466445,,,W
play,1,1,501794,,,9/F
play,1,1,457780,,,K
play,2,0,460697,,,63/G
play,2,0,444555,,,S7/F
play,2,0,491904,,,S1/G.1-2
play,2,0,444481,,,FC4/G.1X2(46);2-H;B-2(E3/TH)
play,2,0,462111,,,SB3
play,2,0,462111,,,53/G
play,2,1,458593,,,K
play,2,1,470459,,,W
play,2,1,502335,,,SB2
play,2,1,502335,,,W
play,2,1,472541,,,7/F
play,2,1,462966,,,E6.1-2;2-3
play,2,1,465753,,,W.1-2;2-3;3-H
play,2,1,466445,,,FC6/G.1X2(64)
play,3,0,445162,,,K
play,3,0,447737,,,3/G
play,3,0,448646,,,K
play,3,1,501794,,,6/P
play,3,1,457780,,,8/F
play,3,1,458593,,,8/F
play,4,0,458054,,,53/G
play,4,0,460697,,,K
play,4,0,444555,,,S8/F
play,4,0,491904,,,SB2
play,4,0,491904,,,63/G
play,4,1,470459,,,43/G
play,4,1,502335,,,K
play,4,1,472541,,,W
play,4,1,462966,,,S9/L.1-2
play,4,1,465753,,,63/G
play,5,0,444481,,,NP
sub,453565,Samuel Basta,1,0,1
play,5,0,444481,,,7/F
play,5,0,462111,,,2/G
play,5,0,445162,,,7/F
play,5,1,466445,,,NP
sub,502566,Ricky Sparks,0,0,1
play,5,1,466445,,,53/G
play,5,1,501794,,,43/G
play,5,1,457780,,,63/G
play,6,0,447737,,,D9/F
play,6,0,448646,,,NP
sub,458933,Jose Mateo,0,4,12
play,6,0,448646,,,SH.2-3;B-1
play,6,0,458054,,,6/P
play,6,0,460697,,,DI.1-2
play,6,0,460697,,,IW
play,6,0,444555,,,W.1-2;2-3;3-H
play,6,0,491904,,,NP
sub,467746,Juan Escorcha,1,0,1
play,6,0,491904,,,S7/F.1-2;2-H;3-H
play,6,0,444481,,,HR/F.1-H;2-H
play,6,0,462111,,,4/P
play,6,0,445162,,,D9/F
play,6,0,458933,,,NP
sub,489365,Joshua Thole,0,4,11
play,6,0,489365,,,13/G
play,6,1,458593,,,NP
sub,489365,Joshua Thole,0,4,3
play,6,1,458593,,,43/G
play,6,1,470459,,,S9/F
play,6,1,502335,,,53/G.1-2
play,6,1,472541,,,K
play,7,0,448646,,,43/G
play,7,0,458054,,,W
play,7,0,460697,,,2/PF
play,7,0,444555,,,K
play,7,1,462966,,,NP
sub,465103,Jorge Figueroa,0,0,1
play,7,1,462966,,,63/G
play,7,1,465753,,,7/F
play,7,1,466445,,,T9/F
play,7,1,501794,,,4/P
id,BluAPP200607062
info,visteam,KinAPP
info,hometeam,BluAPP
info,date,2006/07/06
start,444481,Emmanuel Garcia,0,1,6
start,491904,Todd Lietz,0,2,5
start,445162,Sean Henry,0,3,8
start,458054,David Wabick,0,4,3
start,445054,Bradley Hubbert,0,5,10
start,501850,Donald Green,0,6,9
start,458943,Joan Martinez,0,7,2
start,502742,Will Bashelor,0,8,7
start,475439,Ritchie Price,0,9,4
start,461875,Brandon Wilson,0,0,1
start,465753,Pedro Florimon Jr.,1,1,6
start,463717,Richard D Oleo,1,2,8
start,462984,Franklin Gonzalez,1,3,4
start,488780,Paul Chmiel,1,4,3
start,502664,Justin Johnson,1,5,2
start,502335,Bobby Henson,1,6,5
start,489762,Leonel Yeme,1,7,10
start,502351,Luis Lopez,1,8,9
start,503484,Joseph Nowicki,1,9,7
start,502154,Zachary Britton,1,0,1
play,1,0,444481,,,K
play,1,0,491904,,,K
play,1,0,445162,,,W
play,1,0,458054,,,FC6/G.1X2(64)
play,1,1,465753,,,S8/F
play,1,1,463717,,,SB2
play,1,1,463717,,,K
play,1,1,462984,,,S7/F.2-3
