id,LanCAL200504120
info,visteam,SanCAL
info,hometeam,LanCAL
info,date,2005/04/12
play,8,1,470364,,,13/SH.3-H
play,8,1,450294,,,3/G
play,9,0,435562,,,NP
sub,457835,Dustin Glant,1,0,1
play,9,0,435562,,,8/F
play,9,0,460607,,,K
play,9,0,435558,,,W
play,9,0,435559,,,9/F
id,LanCAL200504220
info,visteam,RanCAL
info,hometeam,LanCAL
info,date,2005/04/22
start,435062,Howie Kendrick,0,1,4
start,457420,Brandon Wood,0,2,6
start,456762,Matthew Brown,0,3,5
start,435064,Bobby Wilson,0,4,2
start,446479,Matthew Pali,0,5,3
start,455072,Brandon Balkcom,0,6,10
start,454437,Jason Sugden,0,7,9
start,445627,B. J. Weed,0,8,7
start,457490,Ransel Melgarejo,0,9,8
start,461744,James Holcomb,0,0,1
start,450294,Erik Schindewolf,1,1,4
start,449805,Jeff Cook,1,2,9
start,448686,Jay Garthwaite,1,3,8
start,452080,Chris Carter,1,4,3
start,446652,Alex Frazier,1,5,7
start,471083,Miguel Montero,1,6,2
start,454453,Edgar Varela,1,7,5
start,451790,Steve Garrabrants,1,8,10
start,462950,Danny Richar,1,9,6
start,452241,Garrett Mock,1,0,1
play,1,0,435062,,,S9/F
play,1,0,placeholder,,,PO1(E?).1-2
play,1,0,457420,,,K
play,1,0,456762,,,S8/F.2-H
play,1,0,435064,,,E5/TH.1-3
play,1,0,446479,,,HR/F.1-H;3-H
play,1,0,455072,,,3/G
play,1,0,454437,,,S8/F
play,1,0,445627,,,63/G
play,1,1,450294,,,D9/L
play,1,1,449805,,,63/G.2-3
play,1,1,448686,,,W
play,1,1,452080,,,WP.1-2;3-H
play,1,1,452080,,,53/G
play,1,1,446652,,,9/F
play,2,0,457490,,,K
play,2,0,435062,,,K
play,2,0,457420,,,8/F
play,2,1,471083,,,43/G
play,2,1,454453,,,D9/F
play,2,1,451790,,,43/G.2-3
play,2,1,462950,,,31/G
play,3,0,456762,,,W
play,3,0,435064,,,FC1/G.1X2(16);B-1
play,3,0,446479,,,E6/TH.1-2
play,3,0,455072,,,S9/F.1-3;2-H
play,3,0,454437,,,3(B)3()/LDP
play,3,1,450294,,,K
play,3,1,449805,,,K
play,3,1,448686,,,S7/F
play,3,1,452080,,,8/F
play,4,0,445627,,,T9/F
play,4,0,457490,,,53/G
play,4,0,435062,,,K
play,4,0,457420,,,K
play,4,1,446652,,,9/F
play,4,1,471083,,,S9/F
play,4,1,454453,,,53/G.1-2
play,4,1,451790,,,S9/F.2-H;B-2
play,4,1,462950,,,7/F
play,5,0,456762,,,6/P
play,5,0,435064,,,K
play,5,0,446479,,,K
play,5,1,450294,,,8/F
play,5,1,449805,,,7/F
play,5,1,448686,,,43/G
play,6,0,455072,,,NP
sub,454563,Alexander Cremidan,1,0,1
play,6,0,455072,,,K
play,6,0,454437,,,S9/F
play,6,0,445627,,,W.1-2
play,6,0,457490,,,K
play,6,0,435062,,,W.1-2;2-3
play,6,0,457420,,,D8/F.1-H;2-H;3-H
play,6,0,456762,,,W
play,6,0,435064,,,NP
sub,446592,Chris Thompson,1,0,1
play,6,0,435064,,,53/G
play,6,1,452080,,,5/P
play,6,1,446652,,,W
