id,BilPIO200506270
info,visteam,GrePIO
info,hometeam,BilPIO
info,date,2005/06/27
play,8,1,458721,,,8/F
play,8,1,446904,,,E6.1-2
play,8,1,460354,,,K
play,8,1,454653,,,6/P
play,9,0,457937,,,NP
sub,458156,James Morris,1,0,1
play,9,0,457937,,,S9/F
play,9,0,489712,,,K
play,9,0,465674,,,3/G.1-2
play,9,0,460700,,,HP
play,9,0,445191,,,3/G
play,9,1,448657,,,53/G
play,9,1,448812,,,W
play,9,1,460083,,,4/P
play,9,1,446224,,,HP.1-2
play,9,1,452325,,,S7/L.1-2;2-H
play,9,1,458721,,,S7/F.1-3;2-H;B-2
play,9,1,446904,,,8/F
id,BilPIO200507060
info,visteam,MisPIO
info,hometeam,BilPIO
info,date,2005/07/06
start,460700,Edwin Roman,0,1,9
start,445191,Joseph Batten,0,2,4
start,453029,Gregory Thomson,0,3,8
start,459928,Osvaldo Diaz,0,4,7
start,458693,Bryan Byrne,0,5,3
start,456795,Will Crouch,0,6,10
start,457937,Steve Mena,0,7,5
start,489712,Mike DeCarlo,0,8,2
start,465674,Pedro Ciriaco,0,9,6
start,460105,Gregory Smith,0,0,1
start,446904,Kenny Lewis,1,1,8
start,489267,Adam Rosales,1,2,6
start,488826,Michael De Jesus,1,3,4
start,489152,Benjamin Mummy,1,4,3
start,454653,JD Roberts,1,5,10
start,461343,Jordan Belcher,1,6,9
start,458246,Jose Ronda,1,7,5
start,488715,Benjamin Blumenthal,1,8,2
start,452325,Josh Holden,1,9,7
start,461418,Robert Wachman,1,0,1
play,1,0,460700,,,HP
play,1,0,placeholder,,,PO1(E?).1-2
play,1,0,445191,,,HP
play,1,0,453029,,,CS3;.1-2
play,1,0,453029,,,43/G.2-3
play,1,0,459928,,,W
play,1,0,458693,,,CSH
play,1,1,446904,,,S8/G
play,1,1,489267,,,SB2
play,1,1,489267,,,K
play,1,1,488826,,,W
play,1,1,489152,,,SB3;SB2
play,1,1,489152,,,43/G.2-3;3-H
play,1,1,454653,,,43/G
play,2,0,458693,,,K
play,2,0,456795,,,7/F
play,2,0,457937,,,W
play,2,0,489712,,,63/G
play,2,1,461343,,,K
play,2,1,458246,,,4/P
play,2,1,488715,,,7/F
play,3,0,465674,,,43/G
play,3,0,460700,,,S7/F.B-2(E7)
play,3,0,445191,,,S9/F.2-H
play,3,0,453029,,,7/F
play,3,0,459928,,,D7/F.1-H
play,3,0,458693,,,43/G
play,3,1,452325,,,W
play,3,1,446904,,,1/P.1X1(13)
play,3,1,489267,,,K
play,4,0,456795,,,E5
