id,ChaIL200505090
info,visteam,OttIL
info,hometeam,ChaIL
info,date,2005/05/09
sub,434117,Jeff Bajenaru,1,0,1
play,9,0,442480,,,K
play,9,0,408252,,,K
play,9,0,425506,,,W
play,9,0,136726,,,9/F
play,9,1,434601,,,4/P
play,9,1,150032,,,5/P
play,9,1,435042,,,K
play,10,0,434939,,,63/G
play,10,0,407577,,,9/F
play,10,0,124696,,,9/F
play,10,1,406550,,,NP
sub,400267,Jake Robbins,0,0,1
play,10,1,406550,,,S7/G
play,10,1,119853,,,53/SH.1-2
play,10,1,400021,,,IW
play,10,1,150399,,,5(B)54(2)/LDP
play,11,0,150325,,,NP
sub,407856,John Stephens,1,0,1
play,11,0,150325,,,53/G
play,11,0,425866,,,S7/L
play,11,0,442480,,,S7/L.1-3
play,11,0,408252,,,S7/L.1-2;3-H
play,11,0,425506,,,36(1)1/GDP/G3
play,11,1,459377,,,NP
sub,462441,Scott Bikowski,1,9,11
play,11,1,462441,,,63/G
play,11,1,115263,,,K
play,11,1,434601,,,63/G
id,ChaIL200505150
info,visteam,BufIL
info,hometeam,ChaIL
info,date,2005/05/15
start,408252,Brandon Phillips,0,1,6
start,425866,Jake Gautreau,0,2,4
start,136726,Mike Kinkade,0,3,5
start,407577,Andy Abad,0,4,9
start,434939,Ryan Garko,0,5,3
start,431138,John Rodriguez,0,6,8
start,150325,Jeff Liefer,0,7,10
start,150130,Dusty Wathan,0,8,2
start,446928,Joe Inglett,0,9,7
start,400152,Steve Watkins,0,0,1
start,462441,Scott Bikowski,1,1,9
start,434601,Pedro Lopez,1,2,6
start,150032,Roosevelt Brown,1,3,7
start,435042,Brian Anderson,1,4,10
start,119853,Greg Norton,1,5,3
start,406550,Jamie Burke,1,6,2
start,400021,Joe Borchard,1,7,8
start,115263,Ricky Gutierrez,1,8,5
start,150399,Trace Coquillette,1,9,4
start,435221,Brandon McCarthy,1,0,1
play,1,0,408252,,,63/G
play,1,0,425866,,,9/F
play,1,0,136726,,,S9/F
play,1,0,407577,,,K
play,1,1,462441,,,S9/F
play,1,1,434601,,,CS2
play,1,1,434601,,,K
play,1,1,150032,,,S7/F
play,1,1,435042,,,7/F
play,2,0,434939,,,9/F
play,2,0,431138,,,D7/F
play,2,0,150325,,,K
play,2,0,150130,,,43/G
play,2,1,119853,,,K
play,2,1,406550,,,3/G
play,2,1,400021,,,K
play,3,0,446928,,,K
play,3,0,408252,,,9/F
play,3,0,425866,,,43/G
play,3,1,115263,,,K
play,3,1,150399,,,S7/F
play,3,1,462441,,,7/F.1-2
play,3,1,434601,,,8/F
play,4,0,136726,,,7/F
play,4,0,407577,,,W
play,4,0,434939,,,WP.1-2
play,4,0,434939,,,D7/F.2-H
play,4,0,431138,,,7/F
play,4,0,150325,,,S8/G.2-H;B-2
play,4,0,150130,,,HR/F.2-H
play,4,0,446928,,,S8/G
