id,MidTEX200505040
info,visteam,TulTEX
info,hometeam,MidTEX
info,date,2005/05/04
play,6,0,464240,,,K
play,6,0,455986,,,E5/TH
play,6,0,150306,,,64(1)3/GDP/G6
play,6,1,462390,,,NP
sub,434441,Roberto Giron,0,0,1
play,6,1,462390,,,53/G
play,6,1,460183,,,6/P
play,6,1,456577,,,W
play,6,1,461769,,,S9/G.1-2
play,6,1,435560,,,K
play,7,0,454472,,,NP
sub,455041,Alex Santos,1,0,1
play,7,0,454472,,,K
play,7,0,468010,,,K
play,7,0,461811,,,K
id,MidTEX200505170
info,visteam,CorTEX
info,hometeam,MidTEX
info,date,2005/05/17
start,461811,Josh Anderson,0,1,8
start,454472,Pat Peavey,0,2,5
start,462405,Brooks Conrad,0,3,4
start,443767,Carlos Rodriguez,0,4,9
start,464240,Ray Navarrete,0,5,7
start,430591,Hector Gimenez,0,6,2
start,455986,Mark Saccomanno,0,7,10
start,431246,Eric Riggs,0,8,6
start,468010,Junior Zamora,0,9,10
start,407133,Scott MacRae,0,0,1
start,461769,Steve Stanley,1,1,8
start,435560,Omar Quintanilla,1,2,6
start,444843,Andre Ethier,1,3,7
start,450196,Brant Colamarino,1,4,3
start,459322,Brian Stavisky,1,5,9
start,425851,Jeremy Brown,1,6,2
start,460183,Lloyd Turner,1,7,10
start,452712,Matthew Allegra,1,8,5
start,456577,Mark Kiger,1,9,4
start,460284,Dallas Braden,1,0,1
play,1,0,461811,,,7/F
play,1,0,454472,,,W
play,1,0,462405,,,1/G.1-2
play,1,0,443767,,,S7/L.2XH
play,1,1,461769,,,S9/L
play,1,1,435560,,,SB2
play,1,1,435560,,,63/G.2-3
play,1,1,444843,,,S8/G.3-H
play,1,1,450196,,,9/F
play,1,1,459322,,,41/G
play,2,0,464240,,,K
play,2,0,430591,,,K
play,2,0,455986,,,S9/L
play,2,0,431246,,,S7/G.1-2
play,2,0,468010,,,K
play,2,1,425851,,,S8/L
play,2,1,460183,,,S8/G.1-2
play,2,1,452712,,,64(1)3/GDP/G6.2-3
play,2,1,456577,,,6/P
play,3,0,461811,,,7/L
play,3,0,454472,,,9/F
play,3,0,462405,,,8/F
play,3,1,461769,,,13/G
play,3,1,435560,,,S7/G
play,3,1,444843,,,S7/G.1-2
play,3,1,450196,,,D8/G.1-H;2-H
play,3,1,459322,,,8/F
play,3,1,425851,,,S8/G.2-H;B-2
play,3,1,460183,,,WP.2-3
play,3,1,452712,,,NP
sub,441798,Kevin Hodge,0,0,1
play,3,1,460183,,,W
play,3,1,452712,,,K
play,4,0,443767,,,K23
play,4,0,464240,,,43/G
play,4,0,430591,,,63/G
play,4,1,456577,,,9/F
play,4,1,461769,,,8/F
play,4,1,435560,,,S8/L
play,4,1,444843,,,43/G
play,5,0,455986,,,D9/F
play,5,0,431246,,,8/F.2X3(85)
play,5,0,468010,,,S5/G
play,5,0,461811,,,FC4/G.1X2(4)
play,5,1,450196,,,D8/F
play,5,1,459322,,,43/G.2-3
play,5,1,425851,,,7/SF.3-H
play,5,1,460183,,,8/F
play,6,0,454472,,,7/F
play,6,0,462405,,,K
play,6,0,443767,,,S4/G
play,6,0,464240,,,43/G
play,6,1,452712,,,K
play,6,1,456577,,,4/P
play,6,1,461769,,,S9/G
play,6,1,435560,,,SB2
play,6,1,435560,,,8/F
play,7,0,430591,,,63/G
play,7,0,455986,,,D9/F
play,7,0,431246,,,7/FF
play,7,0,468010,,,W
play,7,0,461811,,,NP
sub,458190,Brad Weis,1,0,1
play,7,0,461811,,,K
play,7,1,444843,,,NP
sub,449143,Monte Mansfield,0,0,1
play,7,1,444843,,,31/G
play,7,1,450196,,,K
play,7,1,459322,,,31/G
play,8,0,454472,,,E4
play,8,0,462405,,,FC6/G.1X2(64);B-1
play,8,0,443767,,,S5/G.1-2
play,8,0,464240,,,W.1-2;2-3
play,8,0,430591,,,NP
sub,434632,Evan Fahrner,1,0,1
play,8,0,430591,,,D9/F.1-3;2-H;3-H
play,8,0,455986,,,K
play,8,0,431246,,,S9/G.2-3;3-H
play,8,0,468010,,,NP
sub,150306,Dax Norris,0,9,11
play,8,0,150306,,,13/G
play,8,1,425851,,,NP
sub,454472,Pat Peavey,0,2,5
play,8,1,460183,,,NP
sub,150306,Dax Norris,0,9,3
play,8,1,425851,,,53/G
play,8,1,460183,,,K
play,8,1,452712,,,K
play,9,0,461811,,,HP
play,9,0,454472,,,NP
sub,458658,Mike Rodriguez,0,2,11
play,9,0,458658,,,1/G.1-2
play,9,0,462405,,,K
play,9,0,443767,,,K
id,MidTEX200505230
info,visteam,SprTEX
info,hometeam,MidTEX
info,date,2005/05/23
start,449138,Shaun Boyd,0,1,7
start,457434,Kevin Estrada,0,2,6
start,437593,Tyler Minges,0,3,9
start,454441,Travis Hanson,0,4,5
start,236155,Robinson Cancel,0,5,2
start,441067,Papo Bolivar,0,6,10
start,456006,Aaron Herr,0,7,4
start,400129,Juan Diaz,0,8,3
start,434698,Reid Gorecki,0,9,8
start,453480,Randy Leek,0,0,1
start,456577,Mark Kiger,1,1,4
start,473029,Francis Gomez,1,2,6
start,444843,Andre Ethier,1,3,7
start,450196,Brant Colamarino,1,4,3
start,425851,Jeremy Brown,1,5,2
start,459322,Brian Stavisky,1,6,10
start,452712,Matthew Allegra,1,7,9
start,460183,Lloyd Turner,1,8,5
start,461769,Steve Stanley,1,9,8
