MLBAM,First,Last,Bats,Throws,M,D,Y
517588,Jose,Camargo,R,R,09,06,1989
517589,Rather,Trujillo,R,R,02,23,1989
517584,Victor,Ozuna,R,R,12,02,1986
459696,Brandon,Littleton,B,L,10,3,1979
459691,Greg,Belson,R,R,8,16,1978
517581,Robert,Rodriguez,R,R,07,22,1990
517582,Rey,Lebron,R,R,11,26,1989
517583,Augusto,Marte,R,R,08,17,1989
597153,Joel,Fledi,R,R,02,17,1993
543304,Anthony,Hewitt,R,R,04,27,1989
572155,Sam,Spangler,L,L,09,24,1987
520976,Engel,Beltre,L,L,11,01,1989
597151,Justin,Hall,R,R,06,14,1988
407815,Antonio,Perez,R,R,1,26,1980
516988,Juan,Marcano,L,L,08,24,1990
471928,Eddy,Fernandez,L,L,11,22,1986
471925,Wagner,St. Clair,R,R,2,28,1986
471924,Wiston,Montas,R,R,3,03,1987
471927,Jose,Martinez,R,R,9,05,1986
471921,Yonderman,Rodriguez,R,R,2,17,1987
471920,Wilmin,Rodriguez,L,L,05,13,1985
471923,Oscar,Blanco,R,R,2,22,1987
471922,Jean Carlo,Rodriguez,R,R,8,03,1986
543268,Brandon,Haislet,R,R,08,26,1985
596692,Reggie,Keen,R,R,12,02,1987
596691,Brent,Dean,R,R,07,26,1986
576648,Stephen,Smith,R,R,11,04,1989
543260,Johnny,Gunter,R,R,03,10,1988
543261,Jason,Gurka,L,L,01,10,1988
543262,Omar,Gutierrez,R,R,04,10,1985
543263,Justin,Gutsie,R,R,01,07,1987
543265,Anthony,Haase,R,R,03,01,1990
543266,Bradin,Hagens,R,R,05,12,1989
119215,Brian,Moehler,R,R,12,31,1971
115017,Tony,Graffanino,R,R,6,06,1972
471697,Emmanuel,Ramirez,R,R,11,2,1979
465745,Nestor,Delgado,R,R,2,27,1986
471693,Julio,Guerrero,R,R,1,4,1981
465741,Victor,Serrano,R,R,6,30,1986
465742,Dushan,Ruzic,R,R,1,5,1982
465743,Segundo,Chourio,R,R,8,18,1985
571946,Shelby,Miller,R,R,10,10,1990
516188,Jesus,Suarez,R,R,12,05,1988
