id,BilPIO200606220
info,visteam,GrePIO
info,hometeam,BilPIO
info,date,2006/06/22
play,9,0,489239,,,54(1)3/GDP/G5
play,9,1,458214,,,S8/L
play,9,1,453362,,,S1/BG.1-H(E3)
id,BilPIO200606240
info,visteam,HelPIO
info,hometeam,BilPIO
info,date,2006/06/24
start,455079,Stephen Chapman,0,1,8
start,488919,Taylor Green,0,2,4
start,453230,Chris Errecart,0,3,9
start,501895,Andy Bouchie,0,4,2
start,503225,J. R. Hopf,0,5,3
start,501868,Zach Clem,0,6,7
start,455696,Carlos De La Cruz,0,7,10
start,462503,Fredy De La Cruz,0,8,5
start,460002,Jordan Swaydan,0,9,10
start,456028,Brandon Parillo,0,0,1
start,458214,Billy Rojo,1,1,4
start,453362,Chris Valaika,1,2,6
start,453211,Drew Stubbs,1,3,8
start,501846,Logan Parker,1,4,3
start,501926,Jason Louwsma,1,5,5
start,453120,Angel Colon,1,6,10
start,502317,Chris Heisey,1,7,7
start,501909,Anthony Esquer,1,8,2
start,455705,Maikol Mesa,1,9,9
start,473705,Anthony Gressick,1,0,1
play,1,0,455079,,,S6/G
play,1,0,488919,,,54(1)3/GDP/G5
play,1,0,453230,,,53/G
play,1,1,458214,,,S8/L
play,1,1,453362,,,E6/TH.1-3
play,1,1,453211,,,9/SF.3-H
play,1,1,501846,,,S8/G.1-2
play,1,1,501926,,,3/G.1-2;2-3
play,1,1,453120,,,W
play,1,1,502317,,,7/F
play,2,0,501895,,,S8/L
play,2,0,503225,,,PB.1-2
play,2,0,503225,,,8/F
play,2,0,501868,,,NP
sub,455696,Carlos De La Cruz,0,6,11
play,2,0,455696,,,53/G
play,2,0,462503,,,8/F
play,2,1,placeholder,,,NP
sub,455696,Carlos De La Cruz,0,7,7
play,2,1,501909,,,43/G
play,2,1,455705,,,W
play,2,1,458214,,,9/F
play,2,1,453362,,,WP.1-2
play,2,1,453362,,,9/F
play,3,0,460002,,,43/G
play,3,0,489121,,,9/F
play,3,0,455079,,,8/F
play,3,1,453211,,,W
play,3,1,501846,,,W.1-2
play,3,1,501926,,,S6/G.1-2;2-3
play,3,1,453120,,,S7/L.1-2;2-H;3-H
play,3,1,502317,,,34/SH.1-2;2-3
play,3,1,501909,,,63/G.2-3;3-H
play,3,1,455705,,,4/L
play,4,0,488919,,,S7/L
play,4,0,453230,,,K
play,4,0,501895,,,64(1)3/GDP/G6
play,4,1,458214,,,NP
sub,488994,Chris Jean,0,0,1
play,4,1,458214,,,W
play,4,1,453362,,,HP.1-2
play,4,1,453211,,,8/F
play,4,1,501846,,,W.1-2;2-3
play,4,1,501926,,,9/SF.3-H
play,4,1,453120,,,FC5/G.1X2(54)
play,5,0,503225,,,K
play,5,0,455696,,,63/G
play,5,0,462503,,,K
play,5,1,502317,,,S1/BG
play,5,1,501909,,,54(1)3/GDP/G5
play,5,1,455705,,,S8/G
play,5,1,458214,,,5/P
play,6,0,460002,,,NP
sub,446210,Dane Mason,1,0,1
play,6,0,460002,,,D8/L
play,6,0,489121,,,43/G.2-3
play,6,0,455079,,,8/SF.3-H
play,6,0,488919,,,8/L
play,6,1,453362,,,S9/L
play,6,1,453211,,,E5.1-2
play,6,1,501846,,,43/G.1-2;2-3
play,6,1,501926,,,S1/G.2-3;3-H
play,6,1,453120,,,S9/L.1-3;3-H
play,6,1,502317,,,D7/L.1-3;3-H
play,6,1,501909,,,4/PF
play,6,1,455705,,,K
play,7,0,453230,,,53/G
play,7,0,501895,,,63/G
play,7,0,503225,,,8/F
play,7,1,458214,,,NP
sub,491965,Garry Savas,0,4,2
play,7,1,453362,,,NP
sub,444474,Roque Mercedes,0,0,1
