id,ColSAL200604280
info,visteam,AshSAL
info,hometeam,ColSAL
info,date,2006/04/28
play,6,1,489065,,,S8/G
play,6,1,452199,,,S9/G.1-2
play,6,1,447749,,,K
play,7,0,446089,,,8/F
play,7,0,476015,,,63/G
play,7,0,468474,,,K
play,7,1,489564,,,13/G
play,7,1,488906,,,K
play,7,1,469125,,,S7/F
play,7,1,468401,,,WP.1-2
play,7,1,468401,,,43/G
play,8,0,458624,,,NP
sub,460677,Cory Wade,1,0,1
play,8,0,458624,,,S9/G
play,8,0,456394,,,K
play,8,0,489080,,,3/G.1-2
play,8,0,457706,,,63/G
play,8,1,451096,,,K
play,8,1,461315,,,K
play,8,1,489065,,,W
play,8,1,452199,,,E2.1-2
play,8,1,447749,,,K
play,9,0,457108,,,HP
play,9,0,467798,,,SB2
play,9,0,467798,,,WP.2-3
play,9,0,467798,,,W
play,9,0,446089,,,6(1)3/G6/GDP.3-H
play,9,0,476015,,,K
id,ColSAL200604130
info,visteam,ChaSAL
info,hometeam,ColSAL
info,date,2006/04/13
start,457706,Austin Jackson,0,1,8
start,460344,Wilkins De La Rosa,0,2,7
start,467798,Jose Tabata,0,3,9
start,446089,Kyle Larsen,0,4,3
start,445197,Michael Dunn,0,5,10
start,468474,Jose Gil,0,6,2
start,489080,Christopher Malec,0,7,5
start,468470,Reegie Corona,0,8,6
start,457108,Mario Holmann,0,9,4
start,450185,Bryan Villalona,0,0,1
start,488906,Adam Godwin,1,1,8
start,452199,Russell Mitchell,1,2,5
start,468401,Eduardo Perez,1,3,10
start,451096,Sergio Pedroza,1,4,9
start,489065,Andrew Locke,1,5,7
start,465698,Juan Apodaca,1,6,2
start,472544,David Sutherland,1,7,3
start,489564,Juan Rivera,1,8,6
start,474443,Ivan De Jesus,1,9,4
start,464318,Mario Alvarez,0,0,1
play,1,0,457706,,,HP
play,1,0,460344,,,K+SB2
play,1,0,placeholder,,,PO2(E?).2-3
play,1,0,467798,,,43/G.3-H
play,1,0,446089,,,3/G
play,1,1,488906,,,S8/G
play,1,1,452199,,,SB2
play,1,1,452199,,,D7/F.2-H
play,1,1,468401,,,3(B)36(2)/LDP
play,1,1,451096,,,3/G
play,2,0,445197,,,K
play,2,0,468474,,,W
play,2,0,489080,,,54(1)3/GDP/G5
play,2,1,489065,,,S8/G
play,2,1,465698,,,64(1)3/GDP/G6
play,2,1,472544,,,8/F
play,3,0,468470,,,W
play,3,0,457108,,,2/PF
play,3,0,457706,,,D7/F.1-H(E7)
play,3,0,460344,,,SB3
play,3,0,460344,,,K
play,3,0,467798,,,E6/TH.3-H;B-2
play,3,0,446089,,,D8/F.2-H
play,3,0,445197,,,K
play,3,1,489564,,,K
play,3,1,474443,,,63/G
play,3,1,488906,,,43/G
play,4,0,468474,,,NP
sub,467796,Matthew Gomez de Segura,1,0,1
play,4,0,468474,,,S7/G
play,4,0,489080,,,53/G.1-2
play,4,0,468470,,,S4/G.2-H;B-2
play,4,0,457108,,,K
play,4,0,457706,,,SB3
play,4,0,457706,,,5/P
play,4,1,452199,,,5/L
play,4,1,468401,,,K
play,4,1,451096,,,E7
play,4,1,489065,,,FC4/G.1X2(4)
play,5,0,460344,,,K
play,5,0,467798,,,8/F
play,5,0,446089,,,K
play,5,1,465698,,,53/G
play,5,1,472544,,,7/F
play,5,1,489564,,,8/F
play,6,0,445197,,,W
play,6,0,468474,,,SB2
play,6,0,468474,,,8/F
play,6,0,489080,,,7/F
play,6,0,468470,,,S7/G.2-H
play,6,0,457108,,,3/L
play,6,1,474443,,,NP
sub,460346,Edgar Soto,0,0,1
play,6,1,474443,,,43/G
play,6,1,488906,,,3/P
play,6,1,452199,,,43/G
play,7,0,457706,,,NP
sub,464340,Arismendy Castillo,1,0,1
play,7,0,457706,,,S9/G
play,7,0,460344,,,W.1-2
play,7,0,467798,,,3/P
play,7,0,446089,,,FC4/G.1X2(46);2-3;B-1
play,7,0,445197,,,W.1-2
play,7,0,468474,,,43/G
play,7,1,468401,,,9/F
play,7,1,451096,,,HP
play,7,1,489065,,,3/P
play,7,1,465698,,,FC4/G.1X2(46)
play,8,0,489080,,,S8/G
play,8,0,468470,,,S7/G.1-2
play,8,0,457108,,,W.1-2;2-3
play,8,0,457706,,,9/SF.3-H
play,8,0,460344,,,5(2)3/G5/GDP
play,8,1,472544,,,S8/G
play,8,1,489564,,,6/P
play,8,1,474443,,,54(1)3/GDP/G5
