id,VerFSL200504080
info,visteam,St.FSL
info,hometeam,VerFSL
info,date,2005/04/08
start,455003,Tyler Parker,0,6,8
start,458000,Terry Evans,0,7,9
start,446529,John Santor,0,8,3
start,453849,Calvin Hayes,0,9,4
start,455664,Charles Bechtel,0,0,1
start,473234,Etanislao Abreu,1,1,4
start,464341,Chin-lung Hu,1,2,6
start,449159,Anthony Raglani,1,3,9
start,451188,Andy Laroche,1,4,5
start,451588,Cory Dunlap,1,5,3
start,431143,Edwin Bellorin,1,6,2
start,448605,Justin Ruggiano,1,7,8
start,444350,Trey Dyson,1,8,10
start,425767,Mike Nixon,1,9,7
start,469151,Julio Cesar Pimentel,1,0,1
play,1,0,461383,,,E6
play,1,0,453895,,,5/L
play,1,0,452646,,,SB2
play,1,0,452646,,,53/G
play,1,0,448175,,,43/G
play,1,1,473234,,,53/G
play,1,1,464341,,,S9/L
play,1,1,449159,,,SB2
play,1,1,449159,,,K
play,1,1,451188,,,53/G
play,2,0,463015,,,W
play,2,0,455003,,,K
play,2,0,458000,,,K
play,2,0,446529,,,SB2
play,2,0,446529,,,K
play,2,1,451588,,,31/G
play,2,1,431143,,,E6
play,2,1,448605,,,HP.1-2
play,2,1,444350,,,W.1-2;2-3
play,2,1,425767,,,K
play,2,1,473234,,,D7/L.1-H;2-H;3-H
play,2,1,464341,,,63/G
play,3,0,453849,,,D9/F
play,3,0,461383,,,43/G.2-3
play,3,0,453895,,,53/G.3-H
play,3,0,452646,,,9/F
play,3,1,449159,,,W
play,3,1,451188,,,8/F
play,3,1,451588,,,7/F
play,3,1,431143,,,K
play,4,0,448175,,,K
play,4,0,463015,,,43/G
play,4,0,455003,,,S7/F
play,4,0,458000,,,S9/G.1-3
play,4,0,446529,,,K
play,4,1,448605,,,9/F
play,4,1,444350,,,E4
play,4,1,425767,,,46(1)3/GDP/G4
play,5,0,453849,,,K
play,5,0,461383,,,63/G
play,5,0,453895,,,K
play,5,1,473234,,,D9/F
play,5,1,464341,,,FC5.2X2(56)
play,5,1,449159,,,SB2
play,5,1,449159,,,7/F
play,5,1,451188,,,53/G
play,6,0,452646,,,41/G
play,6,0,448175,,,53/G
play,6,0,463015,,,43/G
play,6,1,451588,,,NP
sub,458890,Jose Garcia,0,0,1
play,6,1,451588,,,31/G
play,6,1,431143,,,9/F
play,6,1,448605,,,S6/G
play,6,1,444350,,,FC4/G.1X2(46)
play,7,0,455003,,,NP
sub,446536,Justin Simmons,1,0,1
play,7,0,455003,,,W
play,7,0,458000,,,K
play,7,0,446529,,,SB2
play,7,0,446529,,,W
play,7,0,453849,,,WP.1-2;2-3
play,7,0,453849,,,W
play,7,0,461383,,,12(3)3/GDP/G1
play,7,1,425767,,,NP
sub,453454,Mike McCoy,0,7,9
play,7,1,425767,,,K
play,7,1,473234,,,8/F
play,7,1,464341,,,4/P
play,8,0,453895,,,S7/G
