id,MidTEX200604160
info,visteam,CorTEX
info,hometeam,MidTEX
info,date,2006/04/16
play,7,1,448590,,,6/P
play,7,1,444912,,,K
play,7,1,456035,,,6/PF
play,8,0,433593,,,7/L
play,8,0,277409,,,8/F
play,8,0,448298,,,3/G
play,8,1,450196,,,63/G
play,8,1,435559,,,K
play,8,1,461759,,,53/G
play,9,0,461811,,,NP
sub,469144,Tim Rall,1,0,1
play,9,0,461811,,,S6/G
play,9,0,450314,,,53/SH.1-2
play,9,0,452254,,,IW
play,9,0,407399,,,64(1)3/GDP/G6
play,9,1,460607,,,NP
sub,452640,Aaron Williams,0,0,1
play,9,1,460607,,,8/F
play,9,1,435561,,,K
play,9,1,460183,,,NP
sub,445158,Eduardo Cornejo,1,9,11
play,9,1,445158,,,43/G
id,MidTEX200604200
info,visteam,CorTEX
info,hometeam,MidTEX
info,date,2006/04/20
start,461811,Josh Anderson,0,1,8
start,450314,Ben Zobrist,0,2,6
start,452254,Hunter Pence,0,3,10
start,407399,J. R. House,0,4,3
start,455650,Josh Bonifay,0,5,5
start,456757,John Fagan,0,6,9
start,433593,Jorge Cortes,0,7,7
start,444443,Jonathan Ash,0,8,4
start,461258,Kevin Davidson,0,9,2
start,460172,Chance Douglass,0,0,1
start,448590,Kevin Melillo,1,1,4
start,444912,Ronnie Merrill,1,2,6
start,456035,Danny Putnam,1,3,7
start,450196,Brant Colamarino,1,4,3
start,460607,Vasili Spanos,1,5,5
start,461759,Jed Morris,1,6,2
start,445158,Eduardo Cornejo,1,7,10
start,460183,Lloyd Turner,1,8,9
start,452712,Matthew Allegra,1,9,8
start,446899,Brad Ziegler,1,0,1
play,1,0,461811,,,S9/L
play,1,0,450314,,,46(1)3/GDP/G4
play,1,0,452254,,,K
play,1,1,448590,,,S8/G
play,1,1,444912,,,S8/F.1-2
play,1,1,456035,,,FC1/G.1X2(16);2-3;B-1
play,1,1,450196,,,W.1-2
play,1,1,460607,,,46(1)3/GDP/G4
play,2,0,407399,,,K
play,2,0,455650,,,K
play,2,0,456757,,,HP
play,2,0,433593,,,43/G
play,2,1,461759,,,3/G
play,2,1,445158,,,W
play,2,1,460183,,,S8/L.1-3
play,2,1,452712,,,BK.1-2;3-H
play,2,1,452712,,,K+SB3.2-H(E2/TH)
play,2,1,448590,,,K
play,3,0,444443,,,3/PF
play,3,0,461258,,,S7/L
play,3,0,461811,,,6/P
play,3,0,450314,,,PB.1-2
play,3,0,450314,,,W
play,3,0,452254,,,63/G
play,3,1,444912,,,K
play,3,1,456035,,,W
play,3,1,450196,,,2/PF
play,3,1,460607,,,PO1(E?).1-2
play,3,1,460607,,,K
play,4,0,407399,,,K
play,4,0,455650,,,13/G
play,4,0,456757,,,D7/L
play,4,0,433593,,,9/F
play,4,1,461759,,,S7/L
play,4,1,445158,,,S4/G.1-2
play,4,1,460183,,,14/SH.1-2;2-3
play,4,1,452712,,,FC5.2-3;3XH(52)
play,4,1,448590,,,43/G
play,5,0,444443,,,13/G
play,5,0,461258,,,63/G
play,5,0,461811,,,D8/L
play,5,0,450314,,,3/G
play,5,1,444912,,,T9/F
play,5,1,456035,,,8/F
play,5,1,450196,,,IW
play,5,1,460607,,,NP
sub,451647,Jon Skaggs,0,0,1
play,5,1,460607,,,K
play,5,1,461759,,,43/G
play,6,0,452254,,,D7/L
play,6,0,407399,,,S8/L.2-3
play,6,0,455650,,,FC5.1-2;3XH(52)
play,6,0,456757,,,8/F
play,6,0,433593,,,NP
sub,455946,Justin Crowder,1,0,1
play,6,0,433593,,,43/G
play,6,1,445158,,,7/F
play,6,1,460183,,,63/G
play,6,1,452712,,,K
play,7,0,444443,,,31/G
play,7,0,461258,,,W
play,7,0,461811,,,S9/G.1-2
play,7,0,450314,,,NP
sub,450195,Shawn Kohn,1,0,1
play,7,0,450314,,,D8/F.1-H;2-H;B-3
play,7,0,452254,,,K
play,7,0,407399,,,K
play,7,1,448590,,,S8/G
play,7,1,444912,,,K
play,7,1,456035,,,63/G.1-2
play,7,1,450196,,,NP
sub,452640,Aaron Williams,0,0,1
play,7,1,450196,,,4/P
play,8,0,455650,,,S8/L
play,8,0,456757,,,13/SH.1-2
play,8,0,433593,,,8/F
play,8,0,444443,,,NP
sub,469144,Tim Rall,1,0,1
play,8,0,444443,,,NP
sub,448298,Osvaldo Fernando,0,8,11
play,8,0,448298,,,IW
play,8,0,461258,,,S8/L.1-3;2-H
play,8,0,461811,,,7/F
play,8,1,460607,,,NP
sub,448298,Osvaldo Fernando,0,8,4
play,8,1,460607,,,9/F
play,8,1,461759,,,K
play,8,1,445158,,,7/F
play,9,0,450314,,,3/P
play,9,0,452254,,,T8/L
play,9,0,407399,,,NP
sub,460571,David Bradley,1,0,1
play,9,0,407399,,,IW
play,9,0,455650,,,E6.1-3;3-H;B-2
play,9,0,456757,,,HP
play,9,0,433593,,,7/F.2-3(E2);3-H
play,9,0,448298,,,WP.1-2
play,9,0,448298,,,9/F
play,9,1,460183,,,NP
sub,460639,Jailen Peguero,0,0,1
play,9,1,460183,,,K
play,9,1,452712,,,4/P
play,9,1,448590,,,K
id,MidTEX200604210
info,visteam,SanTEX
info,hometeam,MidTEX
info,date,2006/04/21
start,451573,Sebastien Boucher,0,1,8
start,464281,Oswaldo Navarro,0,2,6
start,459943,Jeff Clement,0,3,2
start,434605,Wladimir Balentien,0,4,9
start,445933,Bryan LaHair,0,5,3
start,455748,Jon Nelson,0,6,7
start,461882,Jesus Guzman,0,7,5
start,461820,Matt Rogelstad,0,8,10
start,455752,Michael Garciaparra,0,9,4
start,456387,Ryan Feierabend,0,0,1
start,460183,Lloyd Turner,1,1,9
start,444912,Ronnie Merrill,1,2,6
start,456035,Danny Putnam,1,3,7
