id,BoiNWL200506260
info,visteam,EugNWL
info,hometeam,BoiNWL
info,date,2005/06/26
play,2,1,461861,,,K
play,3,0,490563,,,13/G
play,3,0,488853,,,43/G
play,3,0,451178,,,63/G
play,3,1,456989,,,S9/G
play,3,1,472505,,,K
play,3,1,460609,,,D7/L.1-3
play,3,1,448293,,,S8/G.2-3;3-H
play,3,1,473222,,,SB2
play,3,1,473222,,,K
play,3,1,445208,,,53/G
play,4,0,450285,,,53/G
play,4,0,489818,,,53/G
play,4,0,447748,,,S9/G
play,4,0,488897,,,D9/F.1XH
play,4,1,460100,,,63/G
play,4,1,489356,,,53/G
play,4,1,461861,,,3/G
play,5,0,459431,,,NP
sub,457728,Roger Evenson,1,0,1
play,5,0,459431,,,S7/G
play,5,0,489279,,,W.1-2
play,5,0,490563,,,4/P
play,5,0,488853,,,S9/G.1-2;2-3
play,5,0,451178,,,K
play,5,0,450285,,,K
play,5,1,456989,,,W
play,5,1,472505,,,WP.1-2
play,5,1,472505,,,FC6.2X3(65)
play,5,1,460609,,,7/L
play,5,1,448293,,,9/F
play,6,0,489818,,,D8/F
play,6,0,447748,,,3/G.2-3
play,6,0,488897,,,K
play,6,0,459431,,,W
play,6,0,489279,,,S8/G.1-2;3-H
play,6,0,490563,,,CS3
play,6,1,473222,,,NP
sub,489563,Jeff Mault,0,0,1
play,6,1,473222,,,W
play,6,1,445208,,,W.1-2
play,6,1,460100,,,FC1/B.1-2;2X3(15);B-1
play,6,1,489356,,,S9/G.1-2;2-3
play,6,1,461861,,,NP
sub,456959,Lance Beus,0,0,1
play,6,1,461861,,,6(1)3/G6/GDP
play,7,0,490563,,,K
play,7,0,488853,,,3/G
play,7,0,451178,,,W
play,7,0,450285,,,K
play,7,1,456989,,,4/L
play,7,1,472505,,,43/G
play,7,1,460609,,,8/F
play,8,0,489818,,,NP
sub,466995,Aleurys Lopez,1,0,1
play,8,0,489818,,,D7/G
play,8,0,447748,,,S8/G.2-H
play,8,0,488897,,,NP
sub,452727,Casey Craig,0,6,12
