id,ChaIL200604140
info,visteam,PawIL
info,hometeam,ChaIL
info,date,2006/04/14
play,5,0,276523,,,S9/G.1-3;B-2(E)
play,5,0,407918,,,S9/L.2-3;3-H
play,5,0,435219,,,CS2
play,5,0,435219,,,S8/L.3-H
play,5,0,425634,,,6/L
play,5,1,279565,,,K
play,5,1,434601,,,K
play,5,1,150303,,,D7/F
play,5,1,435539,,,63/G
play,6,0,430603,,,W
play,6,0,407886,,,K+SB2
play,6,0,430605,,,7(B)74(2)/LDP
play,6,1,462413,,,6/L
play,6,1,435220,,,S8/L
play,6,1,435222,,,7/L
play,6,1,434602,,,3/G
play,7,0,367893,,,8/F
play,7,0,425833,,,43/G
play,7,0,276523,,,43/G
play,7,1,123689,,,HR/F
play,7,1,279565,,,43/G
play,7,1,434601,,,13/G
play,7,1,150303,,,D9/F
play,7,1,435539,,,NP
sub,456599,Corey Hamman,0,0,1
play,7,1,435539,,,43/G
play,8,0,407918,,,8/F
play,8,0,435219,,,W
play,8,0,425634,,,8/F
play,8,0,430603,,,7/F
play,8,1,462413,,,63/G
play,8,1,435220,,,K
play,8,1,435222,,,NP
sub,279561,Steve Green,0,0,1
play,8,1,435222,,,K
play,9,0,407886,,,NP
sub,407906,Jeff Farnsworth,1,0,1
play,9,0,407886,,,63/G
play,9,0,430605,,,K
play,9,0,367893,,,NP
sub,150482,Josh Phelps,0,8,11
play,9,0,150482,,,D9/F
play,9,0,425833,,,D7/L.2-H
play,9,0,276523,,,9/F
play,9,1,434602,,,NP
sub,421104,Lee Gardner,0,0,1
play,9,1,123689,,,NP
sub,150482,Josh Phelps,0,8,10
play,9,1,434602,,,D8/F
play,9,1,123689,,,13/SH.2-3
play,9,1,279565,,,K
play,9,1,434601,,,HR/F.3-H
id,ChaIL200604190
info,visteam,TolIL
info,hometeam,ChaIL
info,date,2006/04/19
start,276523,Tike Redman,0,1,8
start,407918,Kevin Hooper,0,2,6
start,435219,Jack Hannahan,0,3,3
start,150482,Josh Phelps,0,4,2
start,430603,Don Kelly,0,5,4
start,407886,Ryan Ludwick,0,6,9
start,425634,Mike Hessman,0,7,5
start,430605,Ryan Raburn,0,8,7
start,425833,Max St-Pierre,0,9,2
start,407890,Colby Lewis,0,0,1
start,435539,Jerry Owens,1,1,8
start,123689,Jorge Velandia,1,2,6
start,435220,Ryan Sweeney,1,3,9
start,435222,Josh Fields,1,4,5
start,462413,Angel Gonzalez,1,5,3
start,279565,Darren Blakely,1,6,7
start,121252,Ruben Rivera,1,7,10
start,455755,Chris Stewart,1,8,2
start,434601,Pedro Lopez,1,9,4
start,457495,Heath Phillips,1,0,1
play,1,0,276523,,,K
play,1,0,407918,,,S8/F
play,1,0,435219,,,FC3/G.1X2(36);B-1
play,1,0,placeholder,,,POCS2(134)
play,1,1,435539,,,3/BPF
play,1,1,123689,,,S8/L
play,1,1,435220,,,S7/L.1-2
play,1,1,435222,,,K
play,1,1,462413,,,S8/L.1-3;2-H
play,1,1,279565,,,K
play,2,0,150482,,,NP
sub,367893,Jackson Melian,0,4,11
play,2,0,367893,,,43/G
play,2,0,430603,,,43/G
play,2,0,407886,,,S8/L
play,2,0,425634,,,W.1-2
play,2,0,430605,,,13/G
play,2,1,placeholder,,,NP
sub,367893,Jackson Melian,0,4,10
play,2,1,121252,,,S8/G
play,2,1,455755,,,W.1-2
play,2,1,434601,,,SH.1-2;2-3;B-1
play,2,1,435539,,,7/SF.1-2;2-3;3-H
play,2,1,123689,,,8/SF.2-3;3-H
play,2,1,435220,,,W
play,2,1,435222,,,9/FF
play,3,0,425833,,,K
play,3,0,276523,,,7/F
play,3,0,407918,,,E5
play,3,0,435219,,,K
play,3,1,462413,,,D8/F
play,3,1,279565,,,E4/TH.2-H;B-2
play,3,1,121252,,,W
